brand,en_name,kor_name,product_num,model,release,color,price,re_price,wish,review,link
Nike,Nike Air Force 1 Mid QS University Red and Midnight Navy,나이키 에어포스 1 미드 QS 유니버시티 레드 앤 미드나잇 네이비,58592,DH5623-101,22/04/28,WHITE/UNIVERSITY RED/MIDNIGHT NAVY/WHITE,"169,000원","197,000","2,416",22,https://kream.co.kr/products/58592
Nike,Nike Dunk Low Retro Black,나이키 덩크 로우 레트로 블랙,28029,DD1391-100,21/01/14,WHITE/BLACK,"129,000원","213,000",8.7만,1만,https://kream.co.kr/products/28029
Nike,(W) Nike Dunk Low Black,(W) 나이키 덩크 로우 블랙,28030,DD1503-101,21/01/04,WHITE/BLACK,"129,000원","245,000",4.9만,"3,781",https://kream.co.kr/products/28030
Nike,(W) Nike Air Force 1 '07 Low White,(W) 나이키 에어포스 1 '07 로우 화이트,13100,315115-112/DD8959-100,-,WHITE/WHITE,"129,000원","140,000",4.4만,740,https://kream.co.kr/products/13100
Nike,Nike Dunk Low Retro Wolf Grey,나이키 덩크 로우 레트로 울프 그레이,50694,DJ6188-001,22/02/05,PURE PLATINUM/WHITE/WOLF GREY,"129,000원","209,000",4.2만,623,https://kream.co.kr/products/50694
New Balance,New Balance 993 Made in USA Grey - D Standard,뉴발란스 993 메이드 인 USA 그레이 - D 스탠다드,23852,MR993GL,18/08/21,GREY/WHITE,"$155 (약 197,100원)","265,000",2.2만,"1,128",https://kream.co.kr/products/23852
Nike,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,12831,315122-111/CW2288-111,-,WHITE/WHITE,"129,000원","122,000",6.9만,"3,555",https://kream.co.kr/products/12831
Jordan,Jordan 1 Mid Light Smoke Grey Anthracite,조던 1 미드 라이트 스모크 그레이 앤트러사이트,47257,554724-078,22/01/24,LIGHT SMOKE GREY/WHITE-ANTHRACITE,"€120 (약 160,900원)","226,000",3.5만,554,https://kream.co.kr/products/47257
Jordan,Jordan 1 Retro High OG Black Mocha,조던 1 레트로 하이 OG 블랙 모카,25922,555088-105,20/11/13,SAIL/DARK MOCHA-BLACK-BLACK,"199,000원","635,000",2.5만,"5,425",https://kream.co.kr/products/25922
Nike,Nike x Supreme Air Force 1 Low White,나이키 x 슈프림 에어포스 1 로우 화이트,23632,CU9225-100,20/03/05,WHITE/WHITE-WHITE,"$96 (약 122,000원)","173,000",3.7만,"1,141",https://kream.co.kr/products/23632
Jordan,(W) Jordan 1 Low White Dark Marina Blue,(W) 조던 1 로우 화이트 다크 마리나 블루,55067,DC0774-114,22/03/20,WHITE/DARK MARINA BLUE/WHITE,"129,000원","202,000",1.5만,206,https://kream.co.kr/products/55067
Nike,Nike Dunk Low Retro PRM Halloween,나이키 덩크 로우 레트로 프리미엄 할로윈,43374,DD3357-100,22/01/18,SAIL/STARFISH-BLACK,"129,000원","295,000",2.7만,"1,072",https://kream.co.kr/products/43374
Jordan,Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue,조던 1 x 트래비스 스캇 x 프라그먼트 레트로 로우 OG SP 밀리터리 블루,38367,DM7866-140,21/08/13,SAIL/BLACK/MILITARY BLUE,"189,000원","1,690,000",2.2만,"4,780",https://kream.co.kr/products/38367
Nike,Nike Air Force 1 '07 LV8 Athletic Club Light Smoke Grey Marina,나이키 에어포스 1 '07 LV8 애슬레틱 클럽 라이트 스모크 그레이 마리나,50233,DH7568-001,21/12/18,LIGHT SMOKE GREY/MARINA/WHITE/LIGHT SMOKE GREY,"$110 (약 139,900원)","182,000",1.7만,134,https://kream.co.kr/products/50233
Nike,Nike x Peaceminusone Kwondo1 White,나이키 x 피스마이너스원 퀀도1 화이트,45030,DH2482-100,21/12/03,WHITE/WHITE-WHITE,"219,000원","273,000",2.6만,"2,177",https://kream.co.kr/products/45030
Nike,(GS) Nike Dunk Low Black,(GS) 나이키 덩크 로우 블랙,28229,CW1590-100,21/01/04,WHITE/BLACK,"109,000원","205,000",2.3만,"1,365",https://kream.co.kr/products/28229
Jordan,Jordan 1 Retro High OG Patent Bred,조던 1 레트로 하이 OG 페이턴트 브레드,45326,555088-063,21/12/23,BLACK/VARSITY RED-WHITE,"199,000원","230,000",1만,"1,326",https://kream.co.kr/products/45326
New Balance,New Balance 530 Steel Grey,뉴발란스 530 스틸 그레이,28260,MR530KA,21/01/08,STEEL GREY,"99,000원","103,000",2.3만,459,https://kream.co.kr/products/28260
Sony,Sony Playstation 5 Blu-ray Edition (SIEK 220V),소니 플레이스테이션 5 블루레이 에디션 (국내 정식 발매 제품),32975,-,20/11/12,WHITE,"628,000원","705,000","2,456",64,https://kream.co.kr/products/32975
Jordan,Jordan 1 Low Golf Wolf Grey,조던 1 로우 골프 울프 그레이,48705,DD9315-002,22/01/14,WOLF GREY/BLACK-PHOTON DUST-WHITE,"179,000원","320,000",1.9만,404,https://kream.co.kr/products/48705
Jordan,Jordan 1 Low Golf Chicago,조던 1 로우 골프 시카고,48708,DD9315-600,22/01/14,VARSITY RED/BLACK-WHITE,"179,000원","294,000",1만,361,https://kream.co.kr/products/48708
Jordan,(W) Jordan 1 Mid Wolf Grey,(W) 조던 1 미드 울프 그레이,37241,BQ6472-105,21/06/30,WHITE/ALUMINUM-WOLF GREY,"139,000원","274,000",5.1만,786,https://kream.co.kr/products/37241
Jordan,(W) Jordan 1 Low White Wolf Grey,(W) 조던 1 로우 화이트 울프 그레이,36237,DC0774-105,21/07/17,WHITE/WOLF GREY/ALUMINUM,"119,000원","380,000",5.8만,941,https://kream.co.kr/products/36237
Jordan,(W) Jordan 1 Elevate Low SE White and Wolf Grey,(W) 조던 1 엘리베이트 로우 SE 화이트 앤 울프 그레이,52006,DH7004-100,22/02/25,WHITE/WOLF GREY,"159,000원","245,000",2.2만,151,https://kream.co.kr/products/52006
Adidas,Adidas Yeezy Boost 700 V2 Static 2022,아디다스 이지 부스트 700 V2 스태틱 2022,53201,EF2829,22/03/05,STATIC/STATIC/STATIC,"419,000원","380,000","4,794",195,https://kream.co.kr/products/53201
Adidas,Adidas Yeezy Foam RNNR Stone Sage,아디다스 이지 폼 러너 스톤 세이지,53770,GX4472,22/03/11,STONE SAGE/STONE SAGE/STONE SAGE,"129,000원","229,000","2,976",153,https://kream.co.kr/products/53770
Nike,Nike x NBA Dunk Low Retro EMB Black and Chile Red,나이키 x NBA 덩크 로우 레트로 EMB 블랙 앤 칠리 레드,42390,DD3363-100,22/03/23,SAIL/BLACK-BLACK-CHILE RED,"119,000원","185,000",1.9만,743,https://kream.co.kr/products/42390
