brand,en_name,kor_name,product_num,model,release,color,price,re_price,wish,review,link
Nike,Nike Dunk Low Retro Black,나이키 덩크 로우 레트로 블랙,28029,DD1391-100,21/01/14,WHITE/BLACK,"129,000원","234,000",7.1만,"9,189",https://kream.co.kr/products/28029
Jordan,Jordan 1 Mid Light Smoke Grey Anthracite,조던 1 미드 라이트 스모크 그레이 앤트러사이트,47257,554724-078,22/01/24,LIGHT SMOKE GREY/WHITE-ANTHRACITE,"€120 (약 159,800원)","281,000",2만,236,https://kream.co.kr/products/47257
Jordan,Jordan 1 Low Golf Wolf Grey,조던 1 로우 골프 울프 그레이,48705,DD9315-002,22/01/14,WOLF GREY/BLACK-PHOTON DUST-WHITE,"179,000원","355,000",1.2만,261,https://kream.co.kr/products/48705
Nike,Nike Dunk Low Retro Wolf Grey,나이키 덩크 로우 레트로 울프 그레이,50694,DJ6188-001,22/02/05,PURE PLATINUM/WHITE/WOLF GREY,"129,000원","259,000",1.6만,321,https://kream.co.kr/products/50694
Nike,(W) Nike Dunk Low Black,(W) 나이키 덩크 로우 블랙,28030,DD1503-101,21/01/04,WHITE/BLACK,"129,000원","255,000",4.7만,"3,490",https://kream.co.kr/products/28030
Nike,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,12831,315122-111/CW2288-111,-,WHITE/WHITE,"129,000원","130,000",5.1만,"3,063",https://kream.co.kr/products/12831
Nike,Nike Dunk Low Retro PRM Halloween,나이키 덩크 로우 레트로 프리미엄 할로윈,43374,DD3357-100,22/01/18,SAIL/STARFISH-BLACK,"129,000원","280,000",1.9만,810,https://kream.co.kr/products/43374
Nike,Nike x NBA Dunk Low Retro EMB Chicago,나이키 x NBA 덩크 로우 레트로 EMB 시카고,42390,DD3363-100,21/10/08,SAIL/BLACK-BLACK-CHILE RED,"119,000원","262,000","7,932",309,https://kream.co.kr/products/42390
Jordan,Jordan 1 Low Golf White and University Blue,조던 1 로우 골프 화이트 앤 유니버시티 블루,52779,DD9315-100,22/03/04,WHITE/UNIVERSITY BLUE,"179,000원","388,000","2,502",53,https://kream.co.kr/products/52779
adidas Yeezy,Adidas Yeezy Boost 700 V2 Static 2022,아디다스 이지 부스트 700 V2 스태틱 2022,53201,EF2829,22/03/05,STATIC/STATIC/STATIC,"419,000원","520,000","2,106",18,https://kream.co.kr/products/53201
New Balance,New Balance 992 Made in USA Grey - D Standard,뉴발란스 992 메이드 인 USA 그레이 - D 스탠다드,23523,M992GR,20/04/13,GREY,"259,000원","360,000",3.4만,"2,102",https://kream.co.kr/products/23523
New Balance,New Balance 993 Made in USA Grey - D Standard,뉴발란스 993 메이드 인 USA 그레이 - D 스탠다드,23852,MR993GL,18/08/21,GREY/WHITE,"$155 (약 188,600원)","270,000",2.1만,"1,015",https://kream.co.kr/products/23852
Jordan,(W) Jordan 1 Mid Grey Fog,(W) 조던 1 미드 그레이 포그,41534,BQ6472-015,21/11/03,GREY FOG/BLACK-WHITE,"139,000원","288,000",3.8만,756,https://kream.co.kr/products/41534
Asics,Asics x I4P Gel-1130 Glacier Grey Mink,아식스 x I4P 젤 1130 글레이셔 그레이 밍크,52235,1201A664-020,22/02/24,GLACIER GREY/MINK,"129,000원","168,000","2,409",66,https://kream.co.kr/products/52235
Nike,Nike Dunk Low Retro Championship Court Purple,나이키 덩크 로우 레트로 챔피언쉽 코트 퍼플,47887,DD1391-104,22/02/11,WHITE/COURT PURPLE,"129,000원","217,000",1.4만,560,https://kream.co.kr/products/47887
Jordan,(W) Jordan 1 Low White Wolf Grey,(W) 조던 1 로우 화이트 울프 그레이,36237,DC0774-105,21/07/17,WHITE/WOLF GREY/ALUMINUM,"119,000원","368,000",5.5만,848,https://kream.co.kr/products/36237
Nike,Nike x Peaceminusone Kwondo1 White,나이키 x 피스마이너스원 퀀도1 화이트,45030,DH2482-100,21/12/03,WHITE/WHITE-WHITE,"219,000원","328,000",2.1만,"1,848",https://kream.co.kr/products/45030
Jordan,Jordan 1 Low Bred Toe,조던 1 로우 브레드 토,42353,553558-612,22/02/17,WHITE/BLACK/UNIVERSITY RED,"129,000원","192,000","7,813",231,https://kream.co.kr/products/42353
Jordan,(W) Jordan 1 Low Black University Blue,(W) 조던 1 로우 블랙 유니버시티 블루,46732,DC0774-041,21/12/11,BLACK/UNIVERSITY BLUE-WHITE,"129,000원","260,000",2.1만,189,https://kream.co.kr/products/46732
Nike,(GS) Nike Dunk Low PRM Halloween,(GS) 나이키 덩크 로우 프리미엄 할로윈,43774,DO3806-100,22/01/18,SAIL/STARFISH-BLACK,"109,000원","239,000","4,009",95,https://kream.co.kr/products/43774
Jordan,Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue,조던 1 x 트래비스 스캇 x 프라그먼트 레트로 로우 OG SP 밀리터리 블루,38367,DM7866-140,21/08/13,SAIL/BLACK/MILITARY BLUE,"189,000원","1,886,000",2만,"4,234",https://kream.co.kr/products/38367
Jordan,(W) Jordan 1 Elevate Low SE White and Wolf Grey,(W) 조던 1 엘리베이트 로우 SE 화이트 앤 울프 그레이,52006,DH7004-100,22/02/25,WHITE/WOLF GREY,"159,000원","290,000","6,262",47,https://kream.co.kr/products/52006
Nike,(GS) Nike Dunk Low Black,(GS) 나이키 덩크 로우 블랙,28229,CW1590-100,21/01/04,WHITE/BLACK,"109,000원","255,000",2.1만,"1,225",https://kream.co.kr/products/28229
Nike,(W) Nike Air Force 1 '07 Low White,(W) 나이키 에어포스 1 '07 로우 화이트,13100,315115-112/DD8959-100,-,WHITE/WHITE,"129,000원","163,000",3.2만,571,https://kream.co.kr/products/13100
Nike,(W) Nike Dunk Low Vintage Midnight Navy,(W) 나이키 덩크 로우 빈티지 미드나잇 네이비,47184,DD1503-115,21/12/18,MIDNIGHT NAVY/WHITE,"129,000원","370,000",1.7만,149,https://kream.co.kr/products/47184
Sony,Sony Playstation 5 Blu-ray Edition (SIEK 220V),소니 플레이스테이션 5 블루레이 에디션 (국내 정식 발매 제품),32975,-,20/11/12,WHITE,"628,000원","761,000","1,969",45,https://kream.co.kr/products/32975
Jordan,(W) Jordan 1 Mid SE Light Mulberry,(W) 조던 1 미드 SE 라이트 멀베리,49769,DC7267-500,22/01/20,LIGHT MULBERRY/BLACK,"159,000원","254,000","8,982",105,https://kream.co.kr/products/49769
Jordan,Jordan 6 Retro University Blue,조던 6 레트로 유니버시티 블루,52233,CT8529-410,22/03/02,UNIVERSITY BLUE/WHITE-COLLEGE NAVY-BLACK,"239,000원","252,000","1,550",43,https://kream.co.kr/products/52233
Jordan,Jordan 1 Mid College Grey,조던 1 미드 컬리지 그레이,40833,554724-082,22/02/03,COLLEGE GREY/LIGHT BONE-WHITE,"139,000원","208,000","8,920",274,https://kream.co.kr/products/40833
Nike,Nike x Supreme Air Force 1 Low White,나이키 x 슈프림 에어포스 1 로우 화이트,23632,CU9225-100,20/03/05,WHITE/WHITE-WHITE,"$96 (약 116,800원)","229,000",3.1만,923,https://kream.co.kr/products/23632
Jordan,(W) Jordan 1 Mid Wolf Grey,(W) 조던 1 미드 울프 그레이,37241,BQ6472-105,21/06/30,WHITE/ALUMINUM-WOLF GREY,"139,000원","269,000",4.4만,674,https://kream.co.kr/products/37241
Nike,Nike Air Force 1 '07 LV8 Athletic Club Black Dark Sulfur,나이키 에어포스 1 '07 LV8 애슬레틱 클럽 블랙 다크 설퍼,49016,DH7568-002,22/01/11,BLACK/DARK SULFUR-WHITE-BLACK,"139,000원","175,000",2.1만,275,https://kream.co.kr/products/49016
Jordan,Jordan 1 Low OG Starfish,조던 1 로우 OG 스타피쉬,39518,CZ0790-801,21/08/30,STARFISH/WHITE/BLACK,"159,000원","380,000",1.8만,"1,511",https://kream.co.kr/products/39518
Jordan,Jordan 1 Retro High OG University Blue,조던 1 레트로 하이 OG 유니버시티 블루,27986,555088-134,21/03/06,WHITE/UNIVERSITY BLUE/BLACK,"199,000원","489,000",3.4만,"4,396",https://kream.co.kr/products/27986
Jordan,(W) Jordan 1 Low OG Starfish,(W) 조던 1 로우 OG 스타피쉬,39519,CZ0775-801,21/08/30,STARFISH/WHITE/BLACK,"159,000원","323,000",1.3만,624,https://kream.co.kr/products/39519
Nike,(GS) Nike Court Borough Low 2 Light Smoke Grey,(GS) 나이키 코트 버로우 로우 2 라이트 스모크 그레이,48473,BQ5448-117,22/01/03,WHITE/MARINA/LIGHT SMOKE GREY/HABANERO RED,"59,000원","110,000",1.1만,93,https://kream.co.kr/products/48473
Jordan,(W) Jordan 1 Retro High OG Lucky Green,(W) 조던 1 레트로 하이 OG 럭키 그린,25833,DB4612-300,20/10/15,LUCKY GREEN/WHITE-SAIL-BLACK,"199,000원","339,000",1.5만,"1,096",https://kream.co.kr/products/25833
Nike,(W) Nike Dunk Low Vintage Green,(W) 나이키 덩크 로우 빈티지 그린,48968,DQ8580-100,22/02/04,WHITE/VINTAGE GREEN/SAIL,"139,000원","366,000",1.1만,183,https://kream.co.kr/products/48968
Asics,Asics x I4P Gel-1130 Mink Glacier Grey,아식스 x I4P 젤 1130 밍크 글레이셔 그레이,52237,1201A664-021,22/02/24,MINK/GLACIER GREY,"129,000원","237,000","2,957",91,https://kream.co.kr/products/52237
New Balance,New Balance 530 Steel Grey,뉴발란스 530 스틸 그레이,28260,MR530KA,21/01/08,STEEL GREY,"99,000원","107,000",1.7만,372,https://kream.co.kr/products/28260
Nike,Nike Dunk Low Retro Grey Fog,나이키 덩크 로우 레트로 그레이 포그,41193,DD1391-103,21/09/21,WHITE/GREY FOG,"$100 (약 121,600원)","330,000",2.3만,145,https://kream.co.kr/products/41193
