brand,en_name,kor_name,product_num,model,release,color,price,re_price,wish,review,link
Jordan,Jordan 1 Retro High OG Black Mocha,조던 1 레트로 하이 OG 블랙 모카,25922,555088-105,20/11/13,SAIL/DARK MOCHA-BLACK-BLACK,"199,000원","657,000",2.3만,"5,286",https://kream.co.kr/products/25922
Nike,Nike Dunk Low Retro Black,나이키 덩크 로우 레트로 블랙,28029,DD1391-100,21/01/14,WHITE/BLACK,"129,000원","239,000",7.4만,"9,306",https://kream.co.kr/products/28029
IAB Studio,IAB Studio Hoodie Black White,아이앱 스튜디오 후드 블랙 화이트,31662,-,-,BLACK,-,"248,000","2,327",93,https://kream.co.kr/products/31662
Nike,Nike Dunk Low Retro Wolf Grey,나이키 덩크 로우 레트로 울프 그레이,50694,DJ6188-001,22/02/05,PURE PLATINUM/WHITE/WOLF GREY,"129,000원","204,000",2.5만,410,https://kream.co.kr/products/50694
Jordan,Jordan 1 Retro High OG Rebellionaire,조던 1 레트로 하이 OG 리벨리어네어,53308,555088-036,22/03/12,BLACK/WHITE-PARTICLE GREY,"209,000원","250,000","3,918",153,https://kream.co.kr/products/53308
Jordan,Jordan 1 Mid Light Smoke Grey Anthracite,조던 1 미드 라이트 스모크 그레이 앤트러사이트,47257,554724-078,22/01/24,LIGHT SMOKE GREY/WHITE-ANTHRACITE,"€120 (약 162,500원)","270,000",2.3만,310,https://kream.co.kr/products/47257
Nike,Nike x Sacai VaporWaffle White and Gum,나이키 x 사카이 베이퍼와플 화이트 앤 검,40775,DD1875-100,22/03/10,WHITE/SAIL-SAIL,"219,000원","650,000","5,115",110,https://kream.co.kr/products/40775
New Balance,New Balance 992 Made in USA Grey - D Standard,뉴발란스 992 메이드 인 USA 그레이 - D 스탠다드,23523,M992GR,20/04/13,GREY,"259,000원","359,000",3.5만,"2,147",https://kream.co.kr/products/23523
Nike,Nike x Sacai VaporWaffle Black and Gum,나이키 x 사카이 베이퍼와플 블랙 앤 검,41020,DD1875-001,22/03/10,BLACK/OFF-NOIR-OFF-NOIR,"219,000원","450,000","3,501",135,https://kream.co.kr/products/41020
Nike,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,12831,315122-111/CW2288-111,-,WHITE/WHITE,"129,000원","112,000",5.5만,"3,152",https://kream.co.kr/products/12831
Sony,Sony Playstation 5 Blu-ray Edition (SIEK 220V),소니 플레이스테이션 5 블루레이 에디션 (국내 정식 발매 제품),32975,-,20/11/12,WHITE,"628,000원","764,000","2,099",50,https://kream.co.kr/products/32975
Nike,(W) Nike Dunk Low Black,(W) 나이키 덩크 로우 블랙,28030,DD1503-101,21/01/04,WHITE/BLACK,"129,000원","254,000",4.8만,"3,555",https://kream.co.kr/products/28030
Nike,Nike x Peaceminusone Kwondo1 White,나이키 x 피스마이너스원 퀀도1 화이트,45030,DH2482-100,21/12/03,WHITE/WHITE-WHITE,"219,000원","320,000",2.2만,"1,912",https://kream.co.kr/products/45030
Jordan,Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue,조던 1 x 트래비스 스캇 x 프라그먼트 레트로 로우 OG SP 밀리터리 블루,38367,DM7866-140,21/08/13,SAIL/BLACK/MILITARY BLUE,"189,000원","1,836,000",2만,"4,337",https://kream.co.kr/products/38367
adidas Yeezy,Adidas Yeezy Boost 350 V2 Core Black White 2022,아디다스 이지 부스트 350 V2 코어 블랙 화이트 2022,53683,BY1604,22/03/12,CORE BLACK/CORE WHITE/CORE BLACK,"319,000원","395,000","3,007",55,https://kream.co.kr/products/53683
Jordan,Jordan 1 Low Golf Wolf Grey,조던 1 로우 골프 울프 그레이,48705,DD9315-002,22/01/14,WOLF GREY/BLACK-PHOTON DUST-WHITE,"179,000원","349,000",1.4만,303,https://kream.co.kr/products/48705
adidas Yeezy,Adidas Yeezy Boost 700 V2 Static 2022,아디다스 이지 부스트 700 V2 스태틱 2022,53201,EF2829,22/03/05,STATIC/STATIC/STATIC,"419,000원","459,000","3,204",83,https://kream.co.kr/products/53201
Nike,Nike Dunk Low Retro PRM Halloween,나이키 덩크 로우 레트로 프리미엄 할로윈,43374,DD3357-100,22/01/18,SAIL/STARFISH-BLACK,"129,000원","264,000",2.1만,858,https://kream.co.kr/products/43374
Nike,Nike x Sacai x Fragment LDWaffle Light Smoke Grey,나이키 x 사카이 x 프라그먼트 LD와플 라이트 스모크 그레이,39449,DH2684-001,21/08/24,LT SMOKE GREY/WHITE-BLACK,"209,000원","579,000",1.7만,935,https://kream.co.kr/products/39449
Jordan,Jordan 1 Retro High OG University Blue,조던 1 레트로 하이 OG 유니버시티 블루,27986,555088-134,21/03/06,WHITE/UNIVERSITY BLUE/BLACK,"199,000원","469,000",3.5만,"4,451",https://kream.co.kr/products/27986
Nike,Nike x NBA Dunk Low Retro EMB Chicago,나이키 x NBA 덩크 로우 레트로 EMB 시카고,42390,DD3363-100,21/10/08,SAIL/BLACK-BLACK-CHILE RED,"119,000원","226,000",1만,374,https://kream.co.kr/products/42390
Nike,Nike x Supreme Air Force 1 Low White,나이키 x 슈프림 에어포스 1 로우 화이트,23632,CU9225-100,20/03/05,WHITE/WHITE-WHITE,"$96 (약 118,500원)","220,000",3.1만,961,https://kream.co.kr/products/23632
