brand,name_en,name_kor,like,review,resale_price,price,model,color,increase,speed_deli
Nike,Nike Dunk Low Retro Championship Court Purple,나이키 덩크 로우 레트로 챔피언쉽 코트 퍼플,1만,327,"239,000원","129,000원",DD1391-104,WHITE/COURT PURPLE,(+1.2%),1
Nike,Nike Dunk Low Retro Black,나이키 덩크 로우 레트로 블랙,6.4만,"8,746","260,000원","129,000원",DD1391-100,WHITE/BLACK,(+1.4%),1
Jordan,Jordan 1 Mid Light Smoke Grey Anthracite,조던 1 미드 라이트 스모크 그레이 앤트러사이트,1.1만,107,"352,000원","€120 (약 162,300원)",554724-078,LIGHT SMOKE GREY/WHITE-ANTHRACITE,(+1.1%),1
Nike,(W) Nike Dunk Low Black,(W) 나이키 덩크 로우 블랙,4.5만,"3,333","279,000원","129,000원",DD1503-101,WHITE/BLACK,(+4.4%),1
Jordan,Jordan 1 Retro High OG Black Mocha,조던 1 레트로 하이 OG 블랙 모카,2.3만,"5,170","690,000원","199,000원",555088-105,SAIL/DARK MOCHA-BLACK-BLACK,(0%),1
Nike,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,4.4만,"2,867","129,000원","129,000원",315122-111/CW2288-111,WHITE/WHITE,(-1.2%),0
Nike,Nike Dunk Low Retro Wolf Grey,나이키 덩크 로우 레트로 울프 그레이,"8,923",211,"310,000원","129,000원",DJ6188-001,PURE PLATINUM/WHITE/WOLF GREY,(+2.0%),1
Nike,Nike Dunk Low Retro PRM Halloween,나이키 덩크 로우 레트로 프리미엄 할로윈,1.7만,657,"329,000원","129,000원",DD3357-100,SAIL/STARFISH-BLACK,(+0.6%),1
Nike,Nike x Supreme Air Force 1 Low White,나이키 x 슈프림 에어포스 1 로우 화이트,3만,838,"227,000원","$96 (약 114,600원)",CU9225-100,WHITE/WHITE-WHITE,(+24.8%),1
Nike,Nike x Sacai x Fragment LDWaffle Light Smoke Grey,나이키 x 사카이 x 프라그먼트 LD와플 라이트 스모크 그레이,1.6만,872,"559,000원","209,000원",DH2684-001,LT SMOKE GREY/WHITE-BLACK,(+5.5%),1
Jordan,Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue,조던 1 x 트래비스 스캇 x 프라그먼트 레트로 로우 OG SP 밀리터리 블루,1.9만,"3,977","2,590,000원","189,000원",DM7866-140,SAIL/BLACK/MILITARY BLUE,(+0.4%),1
Nike,Nike x Peaceminusone Kwondo1 White,나이키 x 피스마이너스원 퀀도1 화이트,2만,"1,705","380,000원","219,000원",DH2482-100,WHITE/WHITE-WHITE,(-5.2%),1
Jordan,Jordan 1 Low Golf Chicago,조던 1 로우 골프 시카고,"5,930",192,"557,000원","179,000원",DD9315-600,VARSITY RED/BLACK-WHITE,(-8.2%),1
Jordan,Jordan 1 Retro High OG Patent Bred,조던 1 레트로 하이 OG 페이턴트 브레드,"9,426","1,128","260,000원","199,000원",555088-063,BLACK/VARSITY RED-WHITE,(-3.8%),1
adidas Yeezy,Adidas Yeezy Boost 350 V2 Beluga - Reflective,아디다스 이지 부스트 350 V2 벨루가 - 리플렉티브,"6,671",438,"319,000원","329,000원",GW1229,BELUGA RF/STEEPLE GREY/SOLAR RED,(-9.8%),1
Nike,(W) Nike Dunk Low Vintage Midnight Navy,(W) 나이키 덩크 로우 빈티지 미드나잇 네이비,1.4만,98,"398,000원","129,000원",DD1503-115,MIDNIGHT NAVY/WHITE,(-4.2%),1
Jordan,Jordan 1 Retro High OG University Blue,조던 1 레트로 하이 OG 유니버시티 블루,3.3만,"4,233","520,000원","199,000원",555088-134,WHITE/UNIVERSITY BLUE/BLACK,(+5.1%),1
Jordan,Jordan 1 Low OG Starfish,조던 1 로우 OG 스타피쉬,1.7만,"1,357","410,000원","159,000원",CZ0790-801,STARFISH/WHITE/BLACK,(+4.5%),1
Jordan,Jordan 1 Retro High OG Dark Marina Blue,조던 1 레트로 하이 OG 다크 마리나 블루,1.1만,872,"200,000원","209,000원",555088-404,DARK MARINA BLUE/BLACK/WHITE,(+2.0%),1
Jordan,(W) Jordan 1 Mid Grey Fog,(W) 조던 1 미드 그레이 포그,3.6만,709,"349,000원","139,000원",BQ6472-015,GREY FOG/BLACK-WHITE,(+3.6%),1
Jordan,Jordan 1 Low Golf Wolf Grey,조던 1 로우 골프 울프 그레이,"8,963",208,"414,000원","179,000원",DD9315-002,WOLF GREY/BLACK-PHOTON DUST-WHITE,(+0.5%),1
Nike,(W) Nike Air Force 1 '07 Low White,(W) 나이키 에어포스 1 '07 로우 화이트,2.8만,517,"157,000원","129,000원",315115-112/DD8959-100,WHITE/WHITE,(-7.1%),0
Nike,Nike x Supreme Air Force 1 Low Flax,나이키 x 슈프림 에어포스 1 로우 플랙스,"8,635",233,"340,000원","$150 (약 179,000원)",DN1555-200,FLAX/FLAX-GUM LIGHT BROWN,(+1.2%),1
Nike,(GS) Nike Dunk Low Black,(GS) 나이키 덩크 로우 블랙,2.1만,"1,166","260,000원","109,000원",CW1590-100,WHITE/BLACK,(+2.3%),1
New Balance,New Balance 993 Made in USA Grey - D Standard,뉴발란스 993 메이드 인 USA 그레이 - D 스탠다드,1.9만,983,"274,000원","$155 (약 185,000원)",MR993GL,GREY/WHITE,(+0.3%),1
Nike,Nike x Peaceminusone Air Force 1 Low Para-Noise 2.0,나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈 2.0,2.2만,"5,268","610,000원","219,000원",DD3223-100,WHITE/BLACK-WHITE,(-8.4%),1
Jordan,(W) Jordan 1 Low White Wolf Grey,(W) 조던 1 로우 화이트 울프 그레이,5.1만,789,"386,000원","119,000원",DC0774-105,WHITE/WOLF GREY/ALUMINUM,(+10.4%),1
New Balance,New Balance 992 Made in USA Grey - D Standard,뉴발란스 992 메이드 인 USA 그레이 - D 스탠다드,3만,"1,965","289,000원","259,000원",M992GR,GREY,(-20.8%),1
Jordan,(W) Jordan 1 Low OG Starfish,(W) 조던 1 로우 OG 스타피쉬,1.2만,547,"374,000원","159,000원",CZ0775-801,STARFISH/WHITE/BLACK,(-20.8%),1
Nike,(W) Nike Dunk Low Next Nature Gym Red,(W) 나이키 덩크 로우 넥스트 네이쳐 짐레드,"4,889",51,"310,000원","129,000원",DN1431-101,WHITE/GYM RED,(-8.3%),1
Nike,(W) Nike Dunk Low Vintage Green,(W) 나이키 덩크 로우 빈티지 그린,"8,263",125,"390,000원","139,000원",DQ8580-100,WHITE/VINTAGE GREEN/SAIL,(-1.8%),1
Nike,Nike Air Force 1 '07 LV8 Athletic Club Black Dark Sulfur,나이키 에어포스 1 '07 LV8 애슬레틱 클럽 블랙 다크 설퍼,1.8만,216,"164,000원","139,000원",DH7568-002,BLACK/DARK SULFUR-WHITE-BLACK,(-2.9%),1
Jordan,(W) Jordan 1 Low Black University Blue,(W) 조던 1 로우 블랙 유니버시티 블루,1.5만,116,"315,000원","129,000원",DC0774-041,BLACK/UNIVERSITY BLUE-WHITE,(+11.9%),1
Jordan,(W) Jordan 1 Retro High OG Lucky Green,(W) 조던 1 레트로 하이 OG 럭키 그린,1.4만,"1,015","387,000원","199,000원",DB4612-300,LUCKY GREEN/WHITE-SAIL-BLACK,(+18.1%),1
Jordan,Jordan 1 Low Dark Teal,조던 1 로우 다크 틸,1.5만,252,"270,000원","119,000원",553558-411,DARK TEAL/BLACK-WHITE,(-2.0%),1
Autry,(W) Autry Medalist Low Leather Sneakers White,(W) 오트리 메달리스트 로우 레더 스니커즈 화이트,"4,141",21,"279,000원","$186 (약 222,000원)",AULW-LL15,WHITE/WHITE,(+12.0%),1
Nike,(W) Nike Dunk Low Essential Black Paisley,(W) 나이키 덩크 로우 에센셜 블랙 페이즐리,"6,211",72,"260,000원","129,000원",DH4401-100,BLACK,(+5.2%),1
Nike,Nike x Sacai x Undercover LDWaffle Black Bright Citron,나이키 x 사카이 x 언더커버 LD와플 블랙 브라이트 시트론,"9,763",603,"277,000원","209,000원",DJ4877-001,BLACK/SAIL/DARK GREY/BRIGHT CITRON,(+7.1%),1
Sony,Sony Playstation 5 Blu-ray Edition (SIEK 220V),소니 플레이스테이션 5 블루레이 에디션 (국내 정식 발매 제품),"1,586",36,"809,000원","628,000원",-,WHITE,(-0.1%),0
Jordan,(W) Jordan 1 Retro High OG Atmosphere,(W) 조던 1 레트로 하이 OG 애트모스피어,1.2만,510,"295,000원","209,000원",DD9335-641,ATMOSPHERE/WHITE-LASER PINK-OBSIDIAN,(+3.3%),1
