rank,name,increase,increase_cnt
1,맨투맨,-,0
2,후드집업,1,2
3,후드티,0,1
4,바람막이,0,1
5,가디건,1,1
6,반팔,0,1
7,나이키,-,0
8,니트,-,0
9,조거팬츠,-,0
10,후리스,1,42
11,반스,1,11
12,마크곤잘레스,1,14
13,셔츠,-,0
14,자켓,0,2
15,슬랙스,1,1
16,청바지,0,6
17,블레이저,0,3
18,양말,0,7
19,아디다스,0,2
20,백팩,0,2
21,가방,1,43
22,메신저백,1,21
23,모자,0,3
24,나이키바람막이,1,1
25,비니,-,0
26,아노락,1,14
27,컨버스,0,3
28,항공점퍼,1,37
29,커버낫,1,3
30,슬리퍼,1,7
31,반팔티,0,12
32,바지,1,2
33,청자켓,1,5
34,예일,1,21
35,무탠다드,1,14
36,경량패딩,1,25
37,트레이닝바지,0,6
38,운동화,0,17
39,쿠어,1,38
40,바시티자켓,1,33
41,아우터,0,11
42,스니커즈,1,16
43,남자가디건,1,40
44,벨트,0,5
45,폴로,1,26
46,나이키후드집업,1,77
47,셋업,0,2
48,반바지,1,220
49,블루종,0,2
50,롱슬리브,0,14
51,나이키신발,1,16
52,크로스백,0,23
53,윈드브레이커,0,12
54,엘무드,1,16
55,뉴발란스,0,13
56,나이키에어포스,0,8
57,와이드팬츠,-,0
58,와이드슬랙스,0,23
59,에코백,0,31
60,생지데님,-,0
61,트레이닝세트,0,8
62,레이어드티,0,29
63,가죽자켓,1,45
64,크록스,1,30
65,브랜디드,0,9
66,더비슈즈,0,20
67,드로우핏,1,73
68,카드지갑,0,17
69,지갑,1,37
70,신발,0,43
71,코트,1,72
72,플리스,1,242
73,니트조끼,0,7
74,트렌치코트,0,12
75,안경,1,6
76,집업,0,2
77,아식스,0,54
78,토피,1,6
79,깡스타일리스트,1,11
80,스파오,1,19
81,트러커자켓,1,14
82,니트집업,1,5
83,봄아우터,0,8
84,세미와이드슬랙스,1,171
85,데님자켓,1,1
86,야상,0,42
87,바시티,1,158
88,오버핏셔츠,1,10
89,야구점퍼,1,36
90,칼하트,1,67
91,디스이즈네버댓,-,0
92,에어포스,0,13
93,나이키운동화,1,23
94,반집업,1,137
95,치노팬츠,1,31
96,스투시,1,1
97,뉴발란스2002,0,12
98,마르디,0,7
99,아미,0,19
100,나이키후드티,1,126
101,트러커,1,361
102,조끼,1,94
103,하프집업,-,0
104,lee,1,78
105,나이키맨투맨,1,12
106,라이더자켓,1,181
107,레더자켓,0,48
108,클리어런스,0,48
109,하프집업니트,1,160
110,칼하트후드집업,-,0
111,널디,1,25
112,비바스튜디오,1,25
113,오버핏후드티,0,35
114,반스올드스쿨,-,0
115,쇼퍼백,0,8
116,트레이닝셋업,1,162
117,우산,1,70
118,벌룬팬츠,1,128
119,캡모자,1,117
120,남자트렌치코트,1,33
121,남자가죽자켓,1,77
122,블랙진,1,97
123,여자가디건,1,31
124,뮬,-,0
125,레이어드,1,92
126,노메뉴얼,0,63
127,양털후리스,1,37
128,숄더백,1,19
129,크림진,0,16
130,테이퍼드청바지,-,0
131,리복,1,218
132,옥스포드셔츠,0,50
133,아디다스바지,-,0
134,아디다스바람막이,1,220
135,원피스,1,21
136,카고조거팬츠,0,27
137,나이키양말,1,103
138,깔깔이,-,0
139,디스커버리,1,90
140,후드,0,68
141,알파인더스트리,-,0
142,챔피온,1,69
143,오버핏맨투맨,1,5
144,반지,0,39
145,책가방,-,0
146,푸마아미,1,13
147,LMC,-,0
148,패딩조끼,0,20
149,레더,1,381
150,체크셔츠,0,54
151,뉴발란스운동화,0,30
152,시계,1,395
153,제로,1,70
154,오버핏블레이저,1,95
155,후아유,1,161
156,페플,-,0
157,에스피오나지,0,16
158,커버낫맨투맨,1,262
159,모드나인,1,241
160,반집업니트,1,256
161,스탠드오일,1,192
162,로퍼,0,52
163,컨버스하이,-,0
164,독일군스니커즈,1,117
165,아이폰케이스,0,72
166,무지티,-,0
167,미니멀자켓,0,79
168,와이드데님,0,49
169,나이키에어포스1,0,58
170,나일론팬츠,0,8
171,맥코트,1,99
172,베스트,1,1
173,노스페이스바람막이,0,69
174,트위드,1,188
175,나이키데이브레이크,1,40
176,나이키조거팬츠,1,163
177,잠옷,0,101
178,컨버스척70,-,0
179,남자아우터,1,48
180,조던,0,10
181,아디다스집업,0,13
182,슈펜,-,0
183,비슬로우,1,260
184,니트베스트,1,32
185,남자메신저백,1,403
186,스웻팬츠,0,97
187,스타디움자켓,1,299
188,넥타이,0,68
189,크롭맨투맨,-,0
190,티셔츠,0,61
191,럭비티,-,0
192,여자카드지갑,-,0
193,하프집업맨투맨,-,0
194,플랙,0,45
195,데님셔츠,0,92
196,팔찌,1,211
197,긴팔티,-,0
198,독일군,1,239
199,캉골,0,61
200,폴로가디건,1,132
201,회색후드티,1,165
202,덩크,1,193
203,스파오배색윈드브레이커,-,0
204,데님,1,395
205,앤더슨벨,1,28
206,여성트레이닝복세트,1,15
207,아디다스슈퍼스타,1,175
208,와이드청바지,-,0
209,939,1,365
210,토트백,1,151
211,무신사,-,0
212,뉴발란스327,0,162
213,워크자켓,-,0
214,반팔티셔츠,1,60
215,조거,-,0
216,워커,0,61
217,카라가디건,1,112
218,카라티,1,280
219,면바지,0,52
220,카라니트,1,110
221,휠라,-,0
222,크롭후드집업,0,110
223,점퍼,1,35
224,정장,-,0
225,첼시부츠,0,90
226,피그먼트,-,0
227,회색맨투맨,-,0
228,ma-1,-,0
229,나이키모자,-,0
230,남자가방,1,357
231,스웨이드자켓,-,0
232,스파오후리스,-,0
233,엄브로,-,0
234,츄리닝,0,133
235,토마스모어,0,60
236,캉골메신저백,1,151
237,캔버스,0,40
238,파르티멘토,-,0
239,크롭,0,124
240,마뗑킴,0,10
241,라퍼지스토어럭비맨투맨,-,0
242,필통,1,52
243,긴팔티셔츠,1,660
244,아이패드파우치,-,0
245,아울렛,1,30
246,호보백,1,258
247,골프,0,179
248,기능성반팔,-,0
249,아디다스운동화,0,40
250,코치자켓,-,0
251,1507,1,83
252,오버핏자켓,-,0
253,추리닝팬츠,-,0
254,나이키바지,1,81
255,목걸이,1,17
256,숏패딩,1,189
257,여성가방,1,25
258,긴팔,-,0
259,미니크로스백,1,14
260,반스뮬,-,0
261,츄리닝바지,-,0
262,레이어드반팔,0,90
263,챔피온후드집업,-,0
264,코닥,1,96
265,프리즘웍스,1,99
266,fcmm,-,0
267,기본티,1,313
268,나이키조던,0,107
269,데이브레이크,-,0
270,아디다스트랙탑,0,91
271,지프맨투맨,-,0
272,칼하트백팩,-,0
273,남자자켓,1,28
274,레깅스,1,29
275,마스크,1,166
276,사파리자켓,1,141
277,에스피오나지바람막이,1,106
278,우알롱,-,0
279,케이스,-,0
280,키르시,0,122
281,리,1,331
282,미나브,0,29
283,슬링백,1,41
284,여성골프웨어,0,119
285,오즈위고,0,29
286,일꼬르소,0,34
287,남방,0,81
288,남자벨트,0,156
289,아더에러,0,111
290,아우터YOUAREIN,0,25
291,츄리닝세트,1,270
292,푸마,0,7
293,MA1항공점퍼,-,0
294,꼼데가르송,0,134
295,네이더스,-,0
296,예일후드티,-,0
297,오버핏후드집업,0,111
298,옥스퍼드셔츠,0,48
299,우포스,1,504
300,칼하트메신저백,-,0
