rank,name,increase,increase_cnt
1,후드티,-,0
2,맨투맨,-,0
3,후드집업,1,1
4,가디건,1,1
5,니트,0,2
6,나이키,1,1
7,바람막이,1,2
8,백팩,0,2
9,비니,1,2
10,조거팬츠,0,2
11,반스,1,2
12,슬리퍼,1,12
13,컨버스,1,14
14,가방,1,1
15,아노락,1,3
16,숏패딩,0,4
17,레이어드티,0,7
18,양말,0,2
19,셔츠,0,2
20,메신저백,1,5
21,셋업,1,13
22,슬랙스,1,1
23,모자,0,1
24,패딩,1,27
25,청바지,1,15
26,쿠어,0,7
27,코트,1,2
28,커버낫,1,2
29,반팔,1,4
30,트레이닝바지,1,12
31,나이키에어포스,1,4
32,윈드브레이커,1,70
33,경량패딩,0,5
34,트레이닝세트,1,22
35,운동화,0,14
36,블레이저,0,16
37,독일군,1,85
38,폴로,0,7
39,크로스백,0,7
40,스니커즈,1,97
41,후드,1,12
42,무탠다드,1,70
43,에코백,0,7
44,바시티자켓,-,0
45,치노팬츠,1,25
46,자켓,0,32
47,바지,0,21
48,와이드팬츠,1,40
49,후리스,1,5
50,에스피오나지,1,92
51,플랙,1,38
52,카드지갑,1,9
53,블루종,0,8
54,하프집업,1,13
55,롱패딩,1,44
56,신발,0,6
57,아위,1,44
58,제멋,0,20
59,드로우핏,1,25
60,와이드슬랙스,1,20
61,지갑,0,24
62,레더자켓,1,14
63,오버핏후드티,0,22
64,예일,1,23
65,브랜디드,1,46
66,나이키맨투맨,1,41
67,니트집업,0,24
68,로퍼,1,187
69,마크곤잘레스,0,17
70,반팔티,0,23
71,남자가디건,1,27
72,로라로라,1,319
73,칼하트,0,34
74,클리어런스,1,18
75,벨트,0,16
76,아우터,1,24
77,청자켓,0,31
78,모드나인,0,3
79,가죽자켓,1,16
80,하프집업니트,1,29
81,나이키에어포스1,1,50
82,뉴발란스,0,27
83,에어포스,0,17
84,pinko,-,0
85,반바지,1,232
86,트레이닝셋업,0,3
87,나이키신발,0,16
88,아식스,0,6
89,안경,1,26
90,뉴발란스327,1,23
91,아디다스,0,28
92,옥스포드셔츠,0,19
93,스투시,1,194
94,클렛,1,411
95,롱슬리브,1,101
96,목걸이,0,48
97,인사일런스,1,52
