rank,name,increase,increase_cnt
1,반팔,-,0
2,반팔티,1,1
3,반바지,1,1
4,셔츠,1,1
5,바람막이,1,1
6,나이키,1,2
7,반스,1,2
8,550,0,6
9,바지,1,4
10,반팔셔츠,1,7
11,컨버스,1,3
12,슬랙스,1,4
13,모자,0,2
14,양말,1,1
15,조거팬츠,1,12
16,슬리퍼,1,2
17,나이키반팔,1,20
18,청바지,1,4
19,마크곤잘레스,-,0
20,크록스,1,11
21,샌들,1,4
22,반팔니트,1,1
23,무탠다드,1,1
24,후드집업,0,3
25,커버낫,1,9
26,카라티,0,6
27,맨투맨,1,1
28,스투시,1,10
29,아디다스,1,3
30,메신저백,0,1
31,뉴발란스550,0,24
32,가디건,0,6
33,신발,0,3
34,크로스백,1,11
35,가방,1,1
36,폴로,0,1
37,나이키에어포스,1,12
38,쪼리,1,4
39,나이키바람막이,1,5
40,후드티,1,1
41,벨트,1,30
42,지갑,1,9
43,백팩,-,0
44,와이드팬츠,0,5
45,오버핏반팔,1,7
46,뉴발란스,0,34
47,블레이저,1,12
48,쿨탠다드,0,15
49,와이드슬랙스,0,1
50,나이키반바지,1,18
51,에코백,1,5
52,트레이닝바지,1,14
53,니트조끼,1,2
54,마르디,-,0
55,카드지갑,0,5
56,린넨셔츠,1,22
57,아노락,0,11
58,셋업,0,18
59,오버핏셔츠,1,14
60,운동화,1,2
61,반팔카라티,0,8
62,원피스,0,2
63,버뮤다팬츠,1,6
64,쿠어,1,1
65,니트,1,23
66,크롭티,1,4
67,스니커즈,0,6
68,버킷햇,1,4
69,기프트뷰티템특가,0,59
70,우포스,0,3
71,볼캡,0,7
72,래플,1,14
73,옥스포드셔츠,1,24
74,예일,1,9
75,안경,0,1
76,아미,1,6
77,남자반팔티,1,7
78,캡모자,0,21
79,뮬,1,1
80,폴로반팔,1,5
81,lmc,1,14
82,칼하트,1,28
83,아식스,0,25
84,나이키신발,0,21
85,목걸이,0,10
86,치노팬츠,1,12
87,lee,1,18
88,조끼,1,27
89,티셔츠,1,19
90,모드나인,1,13
91,반스어센틱,1,23
92,스파오,1,24
93,노이어,1,235
94,니트베스트,0,3
95,트레이닝반바지,1,41
96,남자반바지,0,19
97,롱슬리브,0,21
98,에어포스,1,1
99,드로우핏,1,95
100,크롭,0,6
101,캘빈클라인반팔,1,10
102,린넨바지,1,11
103,트레이닝세트,0,24
104,무지반팔,1,43
105,와이드청바지,1,16
106,MLB모자,0,17
107,청자켓,0,26
108,토피,0,7
109,볼레로,1,26
110,나이키에어포스1,1,24
111,코워커스,0,64
112,나시,1,6
113,선글라스,1,38
114,자켓,1,3
115,마뗑킴,1,39
116,mlb,1,27
117,앤더슨벨,0,24
118,트레이닝셋업,1,119
119,나이키운동화,0,15
120,크림진,1,7
121,나이키카라티,1,85
122,컨버스척70,1,4
123,세미와이드슬랙스,1,26
124,아디다스반바지,1,68
125,흰티,1,70
126,윈드브레이커,0,1
127,반팔티셔츠,1,11
128,린넨,1,20
129,레이어드티,1,47
130,카고팬츠,-,0
131,마리떼,1,95
132,조던,0,4
133,아이폰케이스,1,201
134,생지데님,1,10
135,나이키모자,1,17
136,브랜디드,1,53
137,커버낫반팔,0,30
138,캉골,1,21
139,독일군,1,23
140,로퍼,0,31
141,아디다스바지,1,191
142,엘무드,0,23
143,디스커버리,1,15
144,디네댓,-,0
145,팔찌,0,49
146,제로,1,59
147,여름바지,0,57
148,나일론팬츠,0,46
149,미나브,0,9
150,939,1,18
151,스컬프터,0,6
152,크롭반팔티,1,19
153,니트반팔,1,78
154,남자가방,1,63
155,데님,1,45
156,깡스타일리스트,0,69
157,뉴발란스327,-,0
158,반지,1,33
159,머슬핏,1,19
160,남자벨트,1,7
161,슬립온,0,6
162,여성가방,1,12
