rank,name,increase,increase_cnt
1,맨투맨,-,0
2,후드집업,1,2
3,후드티,-,0
4,바람막이,0,2
5,가디건,-,0
6,반팔,-,0
7,조거팬츠,-,0
8,나이키,-,0
9,니트,1,2
10,이지부스트,1,82
11,이지부스트700,-,0
12,아디다스,1,38
13,반스,1,10
14,이지,1,82
15,백팩,0,2
16,슬랙스,1,3
17,볼캡,0,3
18,양말,0,2
19,셔츠,0,4
20,블레이저,0,11
21,모자,1,3
22,후리스,1,8
23,가방,1,14
24,래플,1,57
25,나이키바람막이,1,19
26,반팔티,0,6
27,아노락,0,9
28,자켓,0,11
29,컨버스,1,7
30,셋업,0,5
31,마크곤잘레스,1,37
32,청바지,0,22
33,슬리퍼,-,0
34,메신저백,0,12
35,쿠어,0,7
36,트레이닝바지,0,10
37,무탠다드,0,8
38,경량패딩,1,5
39,커버낫,1,34
40,아우터,1,1
41,블루종,0,9
42,트레이닝세트,1,5
43,나이키에어포스,0,22
44,가죽자켓,1,39
45,바지,0,33
46,남자가디건,1,9
47,폴로,0,20
48,바시티자켓,0,17
49,롱슬리브,0,11
50,항공점퍼,1,92
51,레이어드티,0,9
52,와이드팬츠,0,1
53,에코백,0,19
54,와이드슬랙스,0,14
55,비바스튜디오,-,0
56,운동화,0,21
57,나이키신발,0,3
58,아미,1,20
59,반바지,1,42
60,생지데님,1,5
61,신발,0,16
62,청자켓,0,13
63,오버핏셔츠,1,25
64,푸마아미,1,7
65,마르디,1,26
66,예일,1,14
67,카드지갑,1,112
68,옥스포드셔츠,1,21
69,스투시,0,17
70,yeezy,-,0
71,야구점퍼,1,107
72,스니커즈,0,8
73,후드,1,63
74,벨트,0,26
75,비슬로우,1,54
76,반집업,1,62
77,로퍼,0,18
78,나이키후드집업,1,112
79,아디다스이지부스트,1,118
80,크로스백,0,3
81,플리스,1,242
82,더비슈즈,0,43
83,나이키맨투맨,0,16
84,스파오,1,16
85,윈드브레이커,0,32
86,숏패딩,1,69
87,세미와이드슬랙스,1,27
88,트렌치코트,0,31
89,코트,0,23
90,지갑,0,28
91,아식스,0,33
92,하프집업니트,1,297
93,카고조거팬츠,1,80
94,점퍼,1,36
95,아디다스바람막이,1,62
96,클리어런스,1,347
97,니트조끼,1,5
98,939,-,0
99,원피스,1,26
100,lmc,1,5
101,목걸이,1,64
102,뉴발란스,0,39
103,크록스,1,3
104,브랜디드,1,4
105,나이키에어포스1,1,26
106,칼하트,0,3
107,반스어센틱,1,10
108,나이키운동화,0,23
109,레더자켓,1,90
110,흑청자켓,1,140
111,치노팬츠,1,98
112,에스피오나지,0,33
113,에어포스,0,9
114,아우터YOUAREIN,1,34
115,깡스타일리스트,1,209
116,바시티,1,80
117,봄아우터,0,61
118,나이키양말,1,233
119,레이어드,1,258
120,맥코트,1,105
121,캐치볼,0,6
122,노스페이스바람막이,1,116
123,라이더자켓,1,10
124,드로우핏,0,38
125,데님자켓,1,332
126,집업,1,41
127,패딩조끼,1,151
128,아이폰케이스,0,10
129,와이드데님,1,79
130,트레이닝셋업,0,70
131,트위드,1,212
132,크롭,1,30
133,회색후드티,1,175
134,남자트렌치코트,-,0
135,크림진,0,38
136,트러커,1,9
137,나이키데이브레이크,-,0
138,챔피온,0,68
139,lee,0,15
140,조끼,1,200
141,웨이브러너,-,0
142,뉴발란스327,0,96
143,뮬,0,71
144,오버핏후드집업,-,0
145,남자메신저백,1,257
146,스웨트오늘만이가격,1,82
147,여자가디건,1,134
148,오버핏후드티,1,57
149,니트집업,0,65
150,골프,1,4
151,플랙,-,0
152,캡모자,0,40
153,하프집업,0,78
154,뎃,0,45
155,폴로가디건,1,4
156,나이키덩크로우,-,0
157,디스이즈네버댓,-,0
158,크롭자켓,-,0
159,크롭후드집업,0,20
160,나일론팬츠,1,76
161,셋업수트,1,5
162,숄더백,0,86
163,애플워치스트랩,1,197
164,반집업맨투맨,1,454
165,쇼퍼백,1,171
166,스웻팬츠,1,95
167,나이키조던,-,0
168,무지티,1,212
169,미니멀자켓,1,300
170,티셔츠,0,101
171,데님,0,28
172,아디다스바지,0,45
173,토피,0,80
174,인사일런스,-,0
175,흰티,1,23
176,제로,1,69
177,널디,1,198
178,슬링백,1,137
179,에어팟프로케이스,-,0
180,오버핏맨투맨,0,48
181,나이키후드티,0,35
182,럭비티,1,85
183,트러커자켓,0,101
184,반스체커보드,0,8
185,세터,1,27
186,야상,0,112
187,오버핏,-,0
188,모드나인,0,81
189,예일후드티,0,18
190,컨버스척70,1,195
191,무탠다드슬랙스,1,4
192,엄브로,0,69
193,잠옷,0,35
194,폰케이스,-,0
195,이벳필드,0,101
196,스카프,-,0
197,YEEZYBOOST,1,194
198,아더에러,1,65
199,긴팔티,0,77
200,숏야상,1,158
201,스타디움자켓,-,0
202,하프집업맨투맨,0,81
203,아울렛,0,23
204,퓨마,-,0
205,반집업니트,1,328
206,캔버스,-,0
207,벌룬팬츠,1,69
208,여자조거팬츠,1,341
209,책가방,1,108
210,크롭티,0,90
211,흑청바지,-,0
212,남자와이셔츠,-,0
213,양털후리스,-,0
214,후아유,-,0
215,데님셔츠,0,51
216,라코스테,-,0
217,안경,0,130
218,엘무드,0,58
219,긴팔티셔츠,1,286
220,조던,0,57
221,남자아우터,1,291
222,노스페이스,0,31
223,유아인,-,0
224,디스커버리,1,377
225,스컬프터,0,48
226,mlb,-,0
227,키르시,1,75
228,타미힐피거,-,0
229,카고팬츠,0,60
230,크롭맨투맨,1,1
231,런닝화,-,0
232,선글라스,0,60
233,아디다스운동화,0,122
234,오버핏반팔,-,0
235,커버낫후드티,-,0
236,반스올드스쿨,0,108
237,오버핏가디건,1,558
238,오버핏블레이저,0,177
239,블랙진,0,12
240,언더아머,-,0
241,이지700,-,0
242,첼시부츠,0,147
243,카라가디건,1,121
244,스웨트팬츠,-,0
245,와이셔츠,0,132
246,구두,0,40
247,뉴발란스574,0,128
248,시계,0,61
249,조거,0,19
250,mmlg,1,328
251,피스워커,-,0
252,노메뉴얼,1,36
253,독일군,0,113
254,올드스쿨,1,62
255,져지,1,108
256,코닥,0,34
257,나시,1,114
258,무신사,0,72
259,벨리에,-,0
260,캉골,0,99
261,컨버스하이,0,79
262,코드그라피,-,0
263,폴로모자,1,59
264,회색트레이닝바지,1,43
265,독일군스니커즈,1,193
266,미나브,-,0
267,리바이스,-,0
268,점프수트,1,94
269,범고래,-,0
270,앤더슨벨,0,2
271,700,-,0
272,우신사,-,0
273,니트베스트,0,163
274,여성가방,1,22
275,나이키에어맥스,-,0
276,남자가죽자켓,0,106
277,숏코트,-,0
278,스트라이프,-,0
279,뉴발란스운동화,0,163
280,트레이닝,1,85
281,나이키바지,1,225
282,패딩,1,139
283,미니멀,-,0
284,봄,1,97
285,와이드데님팬츠,-,0
286,마뗑킴,0,94
287,스웻셋업,-,0
288,커버낫맨투맨,-,0
289,트레이닝셋업세트,1,14
290,기모후드집업,-,0
291,리,1,651
292,우알롱,-,0
293,MLB모자,0,36
294,남자크로스백,0,157
295,무탠다드블레이저,0,88
296,반팔티셔츠,0,206
297,아노락맨투맨,-,0
298,아디다스트랙탑,-,0
299,아디다스후드집업,-,0
300,아크테릭스,-,0
