rank,name,increase,increase_cnt
268,베스트,1,163
269,데님자켓,0,153
270,블랙진,0,181
271,여자조거팬츠,0,113
272,나이키와플트레이너,1,13
273,미니크로스백,0,38
274,오버핏니트,1,72
275,노스페이스바람막이,1,151
276,뮬,0,141
277,세터,-,0
278,여성가방,0,91
279,발마칸,-,0
280,비슬로우,0,198
281,숏야상,1,229
282,트랙팬츠,-,0
283,폰케이스,1,248
284,메리제인,-,0
285,에어팟케이스,1,415
286,토트백,0,190
287,피스워커,0,122
288,향수,1,41
289,나이키모자,0,82
290,리바이스,-,0
291,블라우스,1,166
292,크롭맨투맨,1,34
293,폴로니트,1,79
294,마르디,0,45
295,팬티,0,55
296,회색후드티,-,0
297,봄자켓,-,0
298,집업가디건,1,221
299,노스페이스백팩,-,0
300,메종미네드,-,0
