rank,name,increase,increase_cnt
1,후드티,-,0
2,맨투맨,-,0
3,니트,1,1
4,백팩,1,2
5,후드집업,0,2
6,가디건,0,1
7,나이키,-,0
8,조거팬츠,-,0
9,비니,1,9
10,가방,1,1
11,컨버스,1,1
12,슬리퍼,1,4
13,반스,0,3
14,바람막이,1,1
15,모자,0,1
16,바시티자켓,1,1
17,메신저백,1,14
18,반팔,1,3
19,나이키에어포스,1,11
20,숏패딩,0,1
21,양말,1,7
22,마크곤잘레스,-,0
23,예일,0,10
24,레이어드티,1,5
25,커버낫,1,9
26,운동화,0,1
27,블루종,1,18
28,코트,0,1
29,청바지,1,3
30,바지,1,5
31,셔츠,1,10
32,지갑,1,16
33,신발,-,0
34,에코백,1,9
35,쿠어,0,11
36,블레이저,1,2
37,슬랙스,0,14
38,아디다스,0,18
39,셋업,0,3
40,이지부스트,0,31
41,자켓,0,15
42,반팔티,1,9
43,후리스,0,6
44,카드지갑,1,11
45,트레이닝바지,1,9
46,트레이닝세트,0,6
47,제멋,0,3
48,스니커즈,0,1
49,크로스백,0,7
50,폴로,0,4
51,나이키신발,0,2
52,윈드브레이커,0,13
53,바시티,1,7
54,와이드팬츠,1,10
55,아노락,1,1
56,항공점퍼,0,4
57,야구점퍼,0,7
58,레더자켓,1,22
59,아우터,-,0
60,엘무드,0,3
61,크록스,1,80
62,에어포스,1,27
63,니트집업,-,0
64,패딩,1,6
65,경량패딩,0,12
66,목걸이,0,1
67,인사일런스,1,12
68,가죽자켓,0,7
69,나이키운동화,0,2
70,롱슬리브,1,13
71,캡모자,1,11
72,야상,1,4
73,나이키에어포스1,1,43
74,벨트,1,4
75,무탠다드,0,17
76,후드,0,7
77,트레이닝셋업,1,31
78,트렌치코트,0,7
79,와이드슬랙스,1,14
80,모드나인,0,12
81,남자가디건,1,4
82,클리어런스,0,9
83,조던,1,23
84,칼하트,0,3
85,아이폰케이스,1,15
86,독일군,1,6
87,반집업,1,4
88,하프집업,1,24
89,뉴발란스,0,23
90,에스피오나지,1,27
91,안경,0,17
92,청자켓,0,15
93,비바스튜디오,1,11
94,책가방,1,38
95,스웻팬츠,1,1
96,스파오,0,24
97,플랙,0,35
