rank,name,increase,increase_cnt
1,후드티,-,0
2,맨투맨,-,0
3,후드집업,-,0
4,바람막이,1,1
5,가디건,0,1
6,백팩,1,1
7,나이키,0,1
8,니트,-,0
9,조거팬츠,-,0
10,슬리퍼,-,0
11,컨버스,1,2
12,반팔,1,6
13,비니,0,1
14,가방,1,1
15,메신저백,0,1
16,반스,0,5
17,운동화,0,1
18,모자,1,3
19,자켓,0,2
20,셔츠,-,0
21,양말,0,2
22,나이키에어포스,1,3
23,블레이저,1,6
24,청바지,1,8
25,커버낫,1,6
26,신발,0,4
27,후리스,0,1
28,레이어드티,-,0
29,마크곤잘레스,0,6
30,쿠어,0,3
31,아디다스,1,19
32,코트,1,5
33,아노락,1,3
34,슬랙스,0,1
35,크로스백,1,8
36,바지,0,12
37,아식스,0,2
38,숏패딩,0,4
39,에코백,1,8
40,바시티자켓,0,2
41,트레이닝세트,0,1
42,셋업,1,4
43,무탠다드,1,14
44,카드지갑,1,8
45,반팔티,-,0
46,블루종,0,7
47,지갑,1,2
48,청자켓,-,0
49,항공점퍼,1,9
50,나이키신발,0,9
51,스니커즈,0,7
52,나이키바람막이,1,4
53,론트,0,23
54,폴로,0,12
55,예일,1,9
56,뉴발란스,1,7
57,경량패딩,0,6
58,트레이닝바지,0,3
59,나이키운동화,0,5
60,크록스,1,10
61,레더자켓,1,5
62,아우터,0,9
63,윈드브레이커,0,2
64,가죽자켓,1,11
65,드로우핏,1,6
66,롱슬리브,0,4
67,야상,1,1
68,에어포스,1,5
69,와이드슬랙스,-,0
70,벨트,1,4
71,트러커자켓,1,51
72,독일군,1,15
73,트렌치코트,0,14
74,와이드팬츠,0,14
75,칼하트,1,1
76,캡모자,1,3
77,트레이닝셋업,1,73
78,스파오,1,3
79,나이키에어포스1,1,28
80,반집업,1,3
81,앤더슨벨,1,81
82,뉴발란스327,1,29
83,하프집업,1,32
84,남자가디건,0,19
85,니트집업,0,18
86,목걸이,1,23
87,플리스,1,7
88,모드나인,1,2
89,나이키맨투맨,1,3
90,후드,0,10
91,엄브로,1,52
92,엘무드,1,8
93,캉골,0,16
94,나이키후드집업,0,3
95,반바지,0,17
96,뉴발란스530,1,53
