rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,발렌시아가,남성트랙스니커즈-화이트:플루오옐로우/542023W1GC39070,"1,270,000원","836,000원",1,999,새벽배송 예정
2위,노스페이스,NM2DM51A_빅샷,"140,000원","126,000원",-,-,2/24배송 예정
3위,도프제이슨,오버핏램스킨싱글자켓,"339,000원","225,000원",1,5,-
4위,아디다스,BW아미-화이트/BZ0579,"139,000원","119,900원",0,3,-
5위,아식스,젤-카야노14-크림:퓨어실버/1201A019-105,"159,000원",-,1,2,-
6위,스톤아일랜드,남성텔라베스트-네이비/7515G0725V0020,"825,000원","592,000원",0,6,새벽배송 예정
7위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","39,000원",0,4,-
8위,라퍼지스토어,[이동휘착용][리뉴얼ver.][3M신슐레이트]오리지널M-1965피쉬테일파카_OriginalKhaki,"138,000원","99,900원",1,12,-
9위,메종 마르지엘라,남성4스티치반지갑-블랙/S35UI0435P0322T8013,"560,000원","408,000원",1,999,새벽배송 예정
10위,안데르센 안데르센,네이비크루넥NaturalTaupe,"417,000원",-,-,-,-
11위,플레어업,오버사이즈발마칸맥코트-블랙(FL-010),"268,000원","209,700원",1,26,-
12위,레이디 볼륨,[오늘만이가격]465-1비건레더오버핏자켓,"89,900원","53,940원",1,14,-
13위,몽클레어,남성하이넥재킷-블랙/G20978G7000080093999,"840,000원","466,000원",0,8,새벽배송 예정
14위,토피,와이드데님팬츠(LIGHTBLUE),"49,000원","44,100원",0,3,-
15위,예일,(22ALL)2TONEARCHHOODIEGRAY,"79,000원","39,500원",1,9,-
16위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","29,900원",0,1,-
17위,스탠드오일,Oblongbag·오블롱백,"119,000원","113,050원",0,11,3/3배송 예정
18위,파르티멘토,[비건레더]필드자켓블랙,"111,700원","89,900원",1,12,-
19위,에스피오나지,RayWindParkaBlack,"159,000원","143,000원",1,4,-
20위,컨버스,척70클래식블랙162050C,"99,000원",-,1,31,-
21위,에이카화이트,FORESTBALMACAANCOAT-NAVY,"419,000원","377,100원",0,11,-
22위,나이키,데이브레이크운동화CK2351-101,"199,000원","118,700원",1,283,-
23위,무신사 스탠다드,[베스트아이템]테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원","29,590원",1,6,-
24위,노스페이스,NC1DM72A챌린지에어다운코트,"439,000원","375,345원",0,15,-
25위,엘무드,화란세미오버가디건블랙,"94,900원","76,400원",1,2,-
26위,반스,컴피쿠시원-(체커보드)블랙:마시멜로우,"109,000원",-,0,22,-
27위,노드 아카이브,와이드테이퍼드치노팬츠(라이트카키),"148,000원",-,1,37,3/2배송 예정
28위,토피,와이드조거스웻팬츠(MELANGEGREY),"39,000원","36,000원",1,21,-
29위,플랙,칸디아니자켓051Z로우,"179,000원","161,100원",0,16,3/21배송 예정
30위,예일,(22SS)2TONEARCHHOODIEGRAY,"79,000원","67,150원",1,652,-
31위,스컬프터,ComfySherpaJacketSage,"128,000원","89,600원",1,999,2일지연 예정
32위,인사일런스,히든버튼알파카코트GREYBEIGE,"349,000원","244,000원",1,999,-
33위,도프제이슨,오버핏비건레더싱글자켓,"119,000원","89,000원",1,6,3/11배송 예정
34위,아디다스,울트라부스트22-블랙/GZ0127,"229,000원",-,0,20,-
35위,도프제이슨,오버핏램스킨봄버점퍼,"345,000원","239,000원",1,999,-
36위,제로,DeepOneTuckSweatPants[Grey],"39,000원",-,0,18,-
37위,내셔널지오그래픽,N221WJP910여성간절기야상점퍼MINT,"239,000원",-,-,-,-
38위,예일,WARMUPQUILTINGJACKETBLACK,"99,000원","64,350원",0,10,-
39위,무신사 스탠다드,[유아인착용상품]와이드히든밴딩슬랙스[블랙],"32,900원",-,0,23,-
40위,엘무드,화란세미오버니트블랙,"89,900원","63,900원",1,849,-
41위,밈더워드로브,NAVY덱봄버자켓,"218,000원","207,100원",1,999,-
42위,올투스 바스터즈,레이서퀼티드자켓[NAVY],"258,000원",-,-,-,-
43위,에스에스알엘,dualpocketmessengerbag/black,"119,000원","92,800원",1,2,-
