rank,name,increase,increase_cnt
1,반팔,-,0
2,쿨탠다드,-,0
3,무탠다드,1,1
4,바람막이,0,1
5,반팔티,-,0
6,셔츠,1,1
7,반바지,0,1
8,나이키,1,1
9,맨투맨,0,1
10,반스,-,0
11,모자,1,3
12,컨버스,1,4
13,양말,0,2
14,자켓,-,0
15,가디건,0,2
16,볼캡,1,8
17,반팔니트,-,0
18,후드집업,1,1
19,백팩,1,4
20,후드티,0,2
21,슬리퍼,0,1
22,조거팬츠,-,0
23,아디다스,1,6
24,바지,1,1
25,롱슬리브,1,6
26,청바지,1,1
27,폴로,1,8
28,커버낫,1,17
29,블레이저,1,7
30,슬랙스,0,9
31,가방,1,2
32,아노락,0,6
33,마크곤잘레스,0,5
34,크록스,0,2
35,무신사쿨탠다드,0,23
36,나이키바람막이,1,3
37,마르디,1,45
38,아식스,1,10
39,뉴발란스,1,2
40,메신저백,0,2
41,카드지갑,1,23
42,셋업,1,14
43,벨트,1,17
44,뮬,1,11
45,스니커즈,1,4
46,오버핏반팔,1,4
47,나이키에어포스,1,10
48,예일,0,14
49,아디다스슈퍼스타,1,143
50,오버핏셔츠,1,17
51,에코백,-,0
52,카라티,1,13
53,트레이닝바지,1,13
54,니트,0,11
55,칼하트,0,11
56,운동화,0,4
57,티셔츠,0,15
58,나이키반팔,1,1
59,반팔셔츠,0,1
60,니트조끼,1,1
61,쿠어,0,15
62,무탠다드반팔,0,22
63,와이드팬츠,0,9
64,와이드슬랙스,0,1
65,슈퍼스타,1,528
66,캡모자,1,5
67,크로스백,0,37
68,원피스,1,4
69,스투시,0,22
70,lmc,1,13
71,신발,0,34
72,모드나인,1,27
73,우포스,1,7
74,지갑,1,21
75,샌들,1,6
76,폴로반팔,1,11
77,토피,1,19
78,브랜디드,0,1
79,반팔티셔츠,0,6
80,크롭티,1,11
81,우알롱,1,47
82,아메스,1,56
83,트레이닝세트,0,30
84,woodz,1,32
85,베이식크루넥반팔티셔츠,1,21
86,로퍼,1,41
87,더비슈즈,1,2
88,아미,1,24
89,청자켓,0,14
90,숄더백,1,18
91,스파오,0,29
92,크롭,1,10
93,인사일런스,1,44
94,옥스포드셔츠,0,18
95,레이어드티,1,6
96,트레이닝반바지,1,13
97,eg4959,-,0
98,트레이닝셋업,1,61
99,에센셜,0,1
100,나이키신발,0,26
101,독일군,0,16
102,수아레,1,19
103,디스이즈네버댓,0,24
104,니트베스트,1,52
105,나일론팬츠,1,12
106,목걸이,1,60
107,반팔카라티,0,15
108,무탠다드슬랙스,0,18
109,반스어센틱,0,4
110,에어포스,0,32
111,에스피오나지,1,82
112,lee,0,2
113,ames,1,2
114,쿨탠다드릴렉스핏크루넥반팔티셔츠,0,45
115,인템포무드,1,104
116,카고팬츠,1,26
117,폴로모자,1,114
118,무신사,0,4
119,아이폰케이스,1,36
120,데님팬츠,1,162
121,블루종,1,3
122,디스커버리,1,41
123,플랙,1,6
124,MLB모자,0,20
125,클리어런스,1,71
126,안경,0,1
127,조끼,1,30
128,크림진,1,37
129,쿨탠다드릴렉스,1,38
130,캉골,1,100
131,나시,0,13
132,마뗑킴,1,46
133,남자가디건,0,49
134,아디다스바람막이,0,1
135,히로,0,67
136,컨버스척70,1,13
137,반지,1,47
138,나이키반바지,0,27
139,생지데님,1,1
140,남자반팔티,1,96
141,팔찌,1,12
142,머슬핏,0,23
143,뉴발란스327,1,110
144,나이키운동화,0,56
145,바시티자켓,1,2
146,여성가방,1,15
147,mlb,0,44
148,코드그라피,1,114
149,제로,1,59
150,선글라스,1,31
151,데님자켓,1,91
152,버뮤다팬츠,0,20
153,린넨셔츠,1,1
154,세미와이드슬랙스,0,47
155,미니백,0,7
156,스웻팬츠,0,21
157,쪼리,0,87
158,노스페이스바람막이,1,159
159,스탠드오일,1,56
160,세터,0,15
161,비슬로우,0,35
162,무신사스탠다드슬랙스,1,116
163,래플,0,66
164,939,1,99
165,데님,1,34
166,반스뮬,1,38
167,첼시부츠,1,28
168,나이키양말,1,41
169,챔피온,1,52
170,레이어드,1,98
171,네이더스,1,98
172,잠옷,1,54
173,와이드데님,0,27
174,캘빈클라인반팔,0,88
175,토마스모어,1,39
176,캘빈클라인,0,8
177,엄브로,1,34
178,메종키츠네,0,9
179,그라미치,1,112
180,린넨바지,0,49
181,반스올드스쿨,0,81
182,여자조거팬츠,1,52
183,널디,0,40
184,스트라이프티,0,1
185,클로그,1,385
186,치노팬츠,0,93
187,후아유,0,10
188,나이키에어포스1,0,37
189,닥터마틴,0,1
190,린넨,0,54
191,조던,0,1
192,스컬프터,0,48
193,아웃스탠딩,1,193
194,스투시반팔,1,57
195,애플워치스트랩,0,20
196,와이드청바지,0,55
197,나이키모자,1,9
198,데님셔츠,1,120
199,미니크로스백,1,104
200,슬리브,1,35
201,유니온블루,0,51
202,골프,1,228
203,꼼파뇨,1,81
204,최고심,0,81
205,아더에러,0,33
206,본챔스,1,14
207,폰케이스,0,6
208,벌룬팬츠,1,91
209,슬립온,0,39
210,남자가방,0,25
211,블로퍼,-,0
212,긴팔티,1,47
213,레이어드반팔,1,118
214,mmlg,0,120
215,엘무드,0,93
216,키르시,1,7
217,체크셔츠,1,78
218,기능성반팔,0,16
219,남자반바지,0,85
220,니트반팔,0,20
221,에어팟프로케이스,1,137
222,오버핏맨투맨,1,119
223,노메뉴얼,0,71
224,무탠다드양말,0,19
225,나이키조던,0,7
226,마르디메크르디,1,200
227,컨버스척테일러,0,48
228,키즈,0,98
229,긴팔티셔츠,0,43
230,무신사스탠다드반팔,1,9
231,퓨처랩,1,94
232,반스체커보드,1,69
233,카고조거팬츠,0,57
234,후드,0,121
235,연청바지,1,14
236,토트백,0,38
237,마리떼,1,78
238,베스트,0,118
239,뉴에라,1,321
240,코닥,0,2
241,마하그리드,0,44
242,뉴발란스574,1,6
243,라퍼지스토어럭비맨투맨,-,0
244,리복,1,26
245,온츠스웨트,1,68
246,아페쎄,-,0
247,슬링백,1,13
248,바시티,1,242
249,언더아머,1,40
250,넥타이,1,77
251,런닝화,1,46
252,쿨탠다드반팔,0,24
253,워커,1,212
254,호보백,1,90
255,앤더슨벨,0,42
256,팬티,1,65
257,남자벨트,1,245
258,샤카웨어,1,194
259,여름,0,26
260,노스페이스,1,339
261,반집업,0,97
262,커버낫반팔,0,35
263,키링,1,169
264,릴렉스핏크루넥반팔티셔츠,1,2
265,무신사스탠다드라이트웨이트슬랙스,1,475
266,카고바지,1,162
267,페이크삭스,1,16
268,마르디반팔,1,387
269,살로몬,1,134
270,아디다스바지,0,97
271,유니폼브릿지,1,203
272,가죽자켓,0,62
273,남자반팔니트,1,86
274,오버핏,1,190
275,헤어밴드,1,483
276,1507,0,105
277,예일반팔,0,33
278,남자여름바지,1,60
279,레깅스,0,15
280,오즈위고,-,0
281,흑청바지,1,19
282,트러커자켓,0,120
283,무지반팔,1,46
284,폴로가디건,1,106
285,폴로셔츠,0,91
286,mmgl,0,70
287,드로우핏,0,107
288,세미와이드,1,126
289,연청,0,86
290,파자마,0,23
291,셋업수트,1,114
292,여름바지,0,134
293,타미힐피거반팔,-,0
294,남자크로스백,1,149
295,라코스테,0,88
296,나이키데이브레이크,0,136
297,칼하트반팔,0,85
298,니트집업,1,244
299,라이더자켓,-,0
300,아디다스슬리퍼,0,29
