rank,name,increase,increase_cnt
1,후드티,-,0
2,후드집업,-,0
3,맨투맨,1,1
4,바람막이,1,1
5,나이키,1,2
6,가디건,0,3
7,니트,0,1
8,백팩,-,0
9,비니,1,1
10,아식스,1,4
11,조거팬츠,0,2
12,반스,1,3
13,모자,1,4
14,슬리퍼,0,2
15,셔츠,1,9
16,양말,1,13
17,후드,1,22
18,가방,1,1
19,코트,1,7
20,코드그라피,1,14
21,숏패딩,0,1
22,경량패딩,1,29
23,쿠어,1,12
24,이지부스트,1,151
25,레이어드티,0,14
26,아노락,1,29
27,바시티자켓,0,11
28,나이키에어포스,0,15
29,트레이닝바지,1,18
30,널디,1,74
31,트레이닝세트,1,26
32,깡스타일리스트,0,2
33,반팔,0,6
34,블레이저,0,3
35,마크곤잘레스,0,14
36,무탠다드,1,28
37,운동화,0,9
38,아디다스,1,101
39,바지,0,7
40,자켓,0,22
41,후리스,0,5
42,아우터,1,52
43,카드지갑,0,2
44,청바지,0,11
45,스니커즈,0,2
46,벨트,1,21
47,슬랙스,0,9
48,컨버스,0,23
49,예일,1,37
50,트렌치코트,1,131
51,신발,0,9
52,메신저백,0,30
53,패딩,1,35
54,크로스백,0,4
55,항공점퍼,0,1
56,에코백,0,8
57,폴로,1,8
58,커버낫,0,12
59,셋업,0,10
60,엘무드,1,141
61,블루종,-,0
62,깡,1,821
63,나이키운동화,1,34
64,반팔티,0,12
65,청자켓,0,42
66,지갑,0,7
67,와이드슬랙스,1,9
68,레더자켓,0,5
69,치노팬츠,0,3
70,롱패딩,1,113
71,가죽자켓,1,76
72,칼하트,1,2
73,독일군,1,12
74,야상,1,16
75,로퍼,1,90
76,오버핏후드티,1,7
77,뉴발란스,0,5
78,나이키에어포스1,1,50
79,뉴발란스327,-,0
80,브랜디드,0,35
81,발마칸코트,0,4
82,스웻팬츠,0,7
83,오버핏맨투맨,1,69
84,일꼬르소,0,24
85,챔피온,1,91
86,아디다스이지부스트,-,0
87,캉골,1,177
88,비바스튜디오,1,126
89,이지,-,0
90,나이키바람막이,1,106
91,오늘만이가격,1,49
92,잠옷,0,19
93,원피스,1,32
94,와이드팬츠,0,50
95,캡모자,1,1
96,니트집업,1,34
97,나이키신발,0,44
98,레깅스,1,101
99,모드나인,0,30
100,반스올드스쿨,1,72
101,제멋,0,61
102,하프집업니트,1,110
103,엄브로,1,146
104,클리어런스,1,19
105,크록스,1,105
106,니트조끼,0,27
107,스파오,0,20
108,제로,-,0
109,카고팬츠,1,95
110,드로우핏,1,146
111,앤더슨벨,1,2
112,하프집업,1,47
113,야구점퍼,1,9
114,YEEZY,-,0
115,트레이닝셋업,1,3
116,나이키바지,1,66
117,MA-1,1,18
118,아디다스바람막이,-,0
119,반집업,0,57
120,lmc,0,14
121,에어포스,1,168
122,뉴발란스530,1,7
123,oy,0,12
124,러드,1,174
125,아이폰케이스,0,30
126,반바지,1,25
127,집업,1,76
128,니트베스트,-,0
129,떡볶이코트,-,0
130,윈드브레이커,0,74
131,커버낫맨투맨,-,0
132,플리스,1,36
133,아디다스바지,1,222
134,나이키후드집업,1,230
135,수아레,-,0
136,트러커자켓,0,52
137,남자니트,1,27
138,노스페이스,1,83
139,시계,1,108
140,무스탕,1,105
141,옥스포드셔츠,0,26
142,MLB모자,0,18
143,남자가디건,0,62
144,스투시,1,29
