rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","31,900원",1,1,-
2위,코드그라피,[SET]YKK2-WAY테크숏자켓셋업_그레이,"127,900원","79,900원",1,1,-
3위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","39,900원",1,1,-
4위,컨버스,런스타하이크블랙166800C,"109,000원",-,1,50,-
5위,나이키,데이브레이크운동화CK2351-101,"199,000원","136,900원",1,8,-
6위,[패밀리세일],(22SS)2TONEARCHHOODIEGRAY,"79,000원","55,300원",1,93,-
7위,예일,램스킨블루종(블랙),"359,000원","323,100원",0,6,-
8위,쿠어,커스텀핏옥스포드셔츠-블루,"179,000원",-,1,2,-
9위,폴로 랄프 로렌,[유아인착용상품]램스킨베이식라이더재킷[블랙],"219,900원",-,1,999,-
10위,무신사 스탠다드,블랙스톰시그마다크그레이/남녀공용/중등산화,"300,000원","240,000원",1,999,-
11위,캠프라인,엔젤와펜집업후드그레이,"79,000원","47,400원",0,2,-
12위,와릿이즌,블랙스미스3345-블랙프레리,"418,000원",-,1,999,-
13위,레드윙,척70클래식블랙162058C,"95,000원",-,0,5,-
14위,컨버스,남성슈퍼스타실버탭실버스타스니커즈-화이트:실버스파클/GMF00101F00031480185,"698,000원","398,000원",1,999,새벽배송 예정
15위,골든구스,오버사이즈블레이저[블랙],"71,900원",-,0,8,-
16위,무신사 스탠다드,시티보이빅오버옥스포드셔츠_RoyalBlue,"47,000원","42,000원",1,12,-
17위,라퍼지스토어,코드후드집업자켓스모크그레이,"62,000원","49,900원",1,7,-
18위,[블록버스터세일],OblongbagMini·오블롱백미니,"96,000원",-,1,9,-
19위,파르티멘토,테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원",-,0,8,-
20위,스탠드오일,[매트블랙]버핑레더미니멀포켓블루종_MattBlack,"94,000원","69,900원",0,4,-
21위,무신사 스탠다드,BW아미-화이트/BZ0579,"139,000원",-,1,19,-
22위,라퍼지스토어,아크블랙메신저백,"79,000원","69,900원",1,4,-
23위,아디다스,아노락쓰리피스풀셋업_블랙,"69,000원","58,600원",1,1,-
24위,하 아카이브,에센셜쿨코튼2-PACK티셔츠,"49,000원","44,100원",1,22,-
25위,[블록버스터세일],시티보이빅오버옥스포드셔츠_NeutralGray,"47,000원","42,000원",0,4,-
26위,어반디타입,코튼실루엣팬츠베이지,"124,000원","105,400원",1,17,4/12배송 예정
27위,커버낫,커스텀핏옥스포드셔츠-화이트,"179,000원",-,1,8,-
28위,라퍼지스토어,CIRCLEBROT-WASHEDBEIGE,"329,000원",-,1,999,-
29위,비얼디드키드,DeepOneTuckSweatPants[Grey],"39,000원",-,1,2,-
30위,폴로 랄프 로렌,공용메탈로고사피아노레더카드케이스-블랙/1MC025QWAF0002,"400,000원","324,000원",1,999,새벽배송 예정
31위,오소이,리치오버MA-1자켓블랙YHJK2269,"59,800원","56,800원",1,19,-
32위,제로,레이어드크루넥반팔티셔츠_일반기장[화이트],"13,900원",-,1,2,-
33위,프라다,밴딩실루엣팬츠베이지,"117,000원","99,450원",0,15,-
34위,제멋,1931OBJECTJEANS[CROPSTRAIGHT],"78,000원","59,000원",0,18,-
35위,무신사 스탠다드,[유아인착용상품]세미와이드히든밴딩슬랙스[블랙],"32,900원",-,0,3,-
36위,비얼디드키드,[유아인착용상품]릴렉스드베이식블레이저[블랙],"71,900원",-,1,15,-
37위,브랜디드,쿨코튼2-PACK베츠기본반팔티셔츠블랙/화이트,"43,000원","29,900원",0,4,-
38위,무신사 스탠다드,MIE빈티지14613홀퀼론블랙/12877001,"280,000원",-,-,-,-
39위,무신사 스탠다드,오버핏비건레더싱글자켓,"119,000원","89,000원",1,52,-
40위,이벳필드,척70클래식블랙162050C,"99,000원",-,0,13,-
41위,닥터마틴,와이드데님팬츠(LIGHTBLUE),"49,000원","39,200원",0,11,-
42위,도프제이슨,TBRACELET,"269,000원",-,-,-,제작14일 예정
43위,컨버스,남성스타디움블루종BH948E-52G68S,"359,000원",-,0,33,-
44위,토피,여성타비카프레더뮬(8.0cm)-블랙/S58WP0246PS679T8013,"990,000원","382,000원",1,999,새벽배송 예정
45위,킹크로치,[정호연착용]스몰어센틱로고후디집업멜란지그레이,"89,000원","71,200원",1,141,-
46위,라코스테,UB바람막이쓰리피스셋업_라이트그레이,"109,000원","79,000원",1,64,-
47위,메종 마르지엘라,갤럭시버즈2블루투스이어폰SM-R177,"149,000원","105,000원",1,999,-
48위,커버낫,(J140)덕액티브자켓(퀼팅안감)-BLACK,"280,000원","258,000원",-,-,-
49위,어반디타입,우먼즈오버사이즈블레이저[블랙],"71,900원",-,1,78,-
50위,삼성전자,OORIGINALBLACK-조리블랙,"62,000원",-,1,209,-
51위,칼하트,화란세미오버가디건블랙,"94,900원","75,900원",1,67,-
52위,무신사 스탠다드,[프리미엄]오버핏램스킨베지터블보머자켓,"410,000원","330,000원",0,39,-
53위,우포스,브루노이워크자켓awa415m(GREY),"249,000원",-,1,999,-
54위,[블록버스터세일],balmacaantrenchCT-beige,"244,300원",-,-,-,-
55위,엘무드,2WAY스냅블루종_아이보리,"136,000원","108,800원",0,15,4/15배송 예정
56위,도프제이슨,BLACKRAWDENIMTRUCKER,"218,000원","178,000원",0,35,-
57위,앤더슨벨,밴딩실루엣팬츠블랙,"117,000원","99,450원",0,54,-
58위,링서울,[향수]르비드밀라노비아델라스피가EDP100ml,"280,000원","238,000원",-,-,-
