rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,엠티엠,[엠티엠]코브라(블랙),"2,541,000원",-,-,-,-
2위,우포스,OORIGINALBLACK-조리블랙,"62,000원",-,-,-,-
3위,에스피오나지,RayYachtParkaBlack,"129,000원","109,000원",1,2,-
4위,커버낫,에센셜쿨코튼2-PACK티셔츠,"49,000원","44,100원",0,3,-
5위,라퍼지스토어,시티보이빅오버옥스포드셔츠_RoyalBlue,"47,000원","42,000원",0,2,4/22배송 예정
6위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","33,900원",1,1,-
7위,수아레,[리뉴얼ver.]린넨세미와이드밴딩팬츠세트,"66,000원","49,500원",0,1,-
8위,엠엘비,[에스파닝닝착용]청키라이너(CHUNKYLINER)NY(White),"139,000원",-,1,2,4/28배송 예정
9위,엘무드,[LMOODX깡스타일리스트]테리워시드데님팬츠블랙,"128,000원","76,800원",0,2,5/6배송 예정
10위,엘무드,[LMOODX깡스타일리스트]테리워시드데님셔츠미들블루,"108,000원","75,600원",1,23,4/29배송 예정
11위,트래블,미시간울버린피그먼트반팔티블랙차콜,"39,000원","27,900원",1,4,-
12위,무신사 스탠다드,[쿨탠다드]쿨맥스테이퍼드히든밴딩크롭슬랙스[블랙],"34,900원",-,1,1,-
13위,엘무드,[LMOODX깡스타일리스트]테리워시드데님팬츠미들블루,"128,000원","76,800원",1,4,5/6배송 예정
14위,제로,DeepOneTuckSweatPants[Grey],"39,000원",-,1,8,-
15위,폴로 랄프 로렌,커스텀핏옥스포드셔츠-블루,"179,000원",-,1,395,-
16위,엘무드,[LMOODX깡스타일리스트]테리인디고데님팬츠블루,"128,000원","76,800원",1,3,5/6배송 예정
17위,디스커버리 익스페디션,러버스로고그래픽후드집업(BLACK),"149,000원",-,1,999,-
18위,무신사 스탠다드,[유아인착용상품]릴렉스드베이식블레이저[블랙],"71,900원",-,1,17,-
19위,라퍼지스토어,시티보이빅오버옥스포드셔츠_NeutralGray,"47,000원","42,000원",0,4,4/22배송 예정
20위,소니,WH-1000XM4노이즈캔슬링블루투스헤드폰,"459,000원","410,000원",0,9,-
21위,마르디 메크르디,TSHIRTFLOWERMARDI_WHITEGREEN,"42,000원",-,1,8,3일지연 예정
22위,[블록버스터세일],아크블랙메신저백,"79,000원","61,620원",1,25,4/29배송 예정
23위,하 아카이브,[Package]테이퍼드와이드원턱린넨팬츠_9Color,"72,000원","49,800원",1,19,4/22배송 예정
24위,라퍼지스토어,[박서준착용]남J320770YAF화이트클래식모노그램로고반팔티셔츠,"79,000원","60,900원",1,17,-
25위,캘빈클라인 진,척70빈티지캔버스울프그레이170552C,"99,000원",-,0,8,-
26위,컨버스,테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원",-,1,41,-
27위,무신사 스탠다드,011502폴로피케반팔티,"16,800원",-,0,18,-
28위,지오다노,쿨코튼2-PACK베츠기본반팔티셔츠블랙/화이트,"49,000원","31,850원",0,2,-
29위,이벳필드,남성체크자카드집업후드-블랙/MJT302A07671001,"2,490,000원","1,250,000원",0,16,새벽배송 예정
