rank,name,increase,increase_cnt
1,스웨트오늘만이가격,-,0
2,후드티,-,0
3,맨투맨,-,0
4,후드집업,-,0
5,바람막이,-,0
6,가디건,-,0
7,나이키,1,1
8,반팔,0,1
9,조거팬츠,1,1
10,니트,0,1
11,비니,1,1
12,반스,0,1
13,컨버스,1,1
14,모자,0,1
15,백팩,1,7
16,자켓,1,1
17,셔츠,0,1
18,라퍼지스토어럭비맨투맨,-,0
19,마크곤잘레스,1,2
20,블레이저,1,3
21,메신저백,1,7
22,쿠어,0,3
23,양말,1,2
24,운동화,1,8
25,청바지,0,1
26,바지,1,14
27,나이키에어포스,1,6
28,가방,1,3
29,슬랙스,0,14
30,슬리퍼,0,3
31,반팔티,0,2
32,나이키바람막이,0,2
33,무탠다드,0,13
34,후리스,0,16
35,커버낫,1,2
36,트레이닝세트,1,6
37,폴로,1,8
38,아노락,0,12
39,경량패딩,1,15
40,롱슬리브,1,32
41,청자켓,0,5
42,신발,0,3
43,제로,1,12
44,아디다스,0,6
45,스니커즈,1,1
46,트레이닝바지,0,3
47,레이어드티,1,6
48,아식스,0,13
49,바시티자켓,0,15
50,블루종,0,9
51,항공점퍼,1,12
52,가죽자켓,0,3
53,셋업,0,6
54,에코백,1,5
55,윈드브레이커,1,1
56,아우터,0,12
57,봄아우터,1,1
58,나이키신발,1,4
59,크로스백,0,8
60,지갑,1,14
61,예일,0,9
62,벨트,0,2
63,코트,0,13
64,레더자켓,1,11
65,나이키운동화,1,6
66,캡모자,1,3
67,니트집업,0,19
68,야상,1,21
69,카드지갑,0,4
70,반바지,-,0
71,남자가디건,0,3
72,와이드슬랙스,1,1
73,후드,0,6
74,스투시,1,35
75,트렌치코트,0,14
76,반집업,1,1
77,뉴발란스,1,2
78,모드나인,1,30
79,스웻팬츠,1,1
80,옥스포드셔츠,1,2
81,야구점퍼,1,18
82,독일군,1,50
83,무탠다드슬랙스,1,2
84,오늘만이가격,1,9
85,숄더백,0,21
86,와이드팬츠,0,20
87,클리어런스,1,1
88,나이키후드집업,1,10
89,스파오,0,11
90,엘무드,0,14
91,에어포스,1,22
92,크록스,1,45
93,뉴발란스운동화,1,49
94,티셔츠,1,107
95,lmc,1,31
96,뉴발란스327,1,39
97,나이키데이브레이크,0,7
98,시계,1,247
99,니트조끼,0,18
100,하프집업니트,0,43
101,하프집업,1,23
102,크림진,0,18
103,데님자켓,0,3
104,쇼퍼백,1,13
105,더비슈즈,0,18
106,토피,0,23
107,나이키맨투맨,1,26
108,인사일런스,1,37
109,숏패딩,0,8
110,트러커자켓,0,7
111,바시티,0,9
112,폴로가디건,1,13
113,아디다스바람막이,1,38
114,플랙,1,46
115,미니멀자켓,1,23
116,데님,1,37
117,제멋,1,27
118,치노팬츠,1,4
119,오버핏후드티,0,24
120,하프집업맨투맨,1,119
121,아이폰케이스,1,6
122,반스올드스쿨,1,69
123,오버핏맨투맨,1,87
124,여자가디건,0,19
125,나이키모자,1,51
126,레이어드,0,20
127,노스페이스바람막이,1,32
128,첼시부츠,1,21
129,캉골,1,39
130,집업,0,18
131,와이드청바지,0,10
132,널디,1,48
133,생지데님,0,29
134,라이더자켓,0,11
135,드로우핏,0,15
136,컨버스척70,1,19
137,반스어센틱,1,21
138,칼하트,0,41
139,lee,1,1
140,나이키에어포스1,0,10
141,디스이즈네버댓,1,11
142,뮬,1,12
143,플리스,0,2
144,와이드데님,0,16
145,오버핏셔츠,1,3
146,잠옷,1,41
147,mlb,0,4
148,비바스튜디오,0,32
149,브랜디드,0,30
150,비슬로우,0,59
151,크롭후드집업,1,75
152,나이키후드티,0,66
153,크롭,0,22
154,트레이닝셋업,0,18
155,MLB모자,1,37
156,칼하트후드집업,1,25
157,아더에러,0,47
158,로퍼,0,47
159,커버낫맨투맨,1,19
160,안경,0,46
161,반지,0,15
162,목걸이,0,70
163,MA1,0,34
164,우알롱,0,25
165,조던,0,58
166,코닥,1,52
167,트위드자켓,0,1
168,아미,1,31
169,세미와이드슬랙스,0,51
170,반팔티셔츠,1,221
171,원피스,0,75
172,스탠드오일,0,11
173,엄브로,1,12
174,디스커버리,0,2
175,뉴발란스574,1,28
176,아웃스탠딩,1,36
177,나이키조던,1,69
178,에어팟프로케이스,0,16
179,조끼,0,45
180,레이어드반팔,1,276
181,점퍼,1,116
182,예일후드티,1,14
183,던스트,1,65
184,벌룬팬츠,1,80
185,나일론팬츠,0,18
186,셀비지,0,23
187,유니폼브릿지,1,35
188,크롭맨투맨,-,0
189,스웨트팬츠,1,149
190,스트라이프티,1,178
191,남자트렌치코트,1,66
192,에스피오나지,0,17
193,회색후드티,1,124
194,흰티,1,26
