rank,name,increase,increase_cnt
1,후드티,-,0
2,후드집업,1,3
3,맨투맨,0,1
4,바람막이,0,1
5,가디건,0,1
6,조거팬츠,1,1
7,나이키,0,1
8,니트,-,0
9,yeezy,-,0
10,이지,1,89
11,양말,1,41
12,반팔,0,2
13,후리스,1,3
14,반스,1,7
15,셔츠,0,6
16,아노락,0,5
17,아디다스,1,37
18,백팩,1,21
19,컨버스,1,14
20,모자,1,5
21,자켓,0,9
22,블레이저,0,3
23,슬랙스,0,10
24,마크곤잘레스,0,10
25,커버낫,1,96
26,반팔티,1,11
27,비니,0,12
28,나이키바람막이,1,20
29,쿠어,1,3
30,블루종,1,25
31,윈드브레이커,1,19
32,신발,1,2
33,메신저백,0,4
34,가방,0,14
35,운동화,0,4
36,경량패딩,1,52
37,셋업,0,7
38,청바지,0,3
39,무탠다드,0,21
40,식스핏,1,13
41,스니커즈,0,3
42,청자켓,0,25
43,나이키에어포스,0,19
44,슬리퍼,0,16
45,봄아우터,0,5
46,트레이닝세트,1,3
47,바지,0,21
48,트레이닝바지,0,1
49,깡스타일리스트,0,7
50,바시티자켓,0,28
51,롱슬리브,0,24
52,와이드팬츠,1,4
53,레이어드티,1,20
54,아식스,0,18
55,아우터,0,4
56,폴로,0,11
57,크로스백,1,8
58,나이키후드집업,1,112
59,남자가디건,1,19
60,뉴발란스,0,3
61,트렌치코트,0,38
62,니트집업,1,10
63,칼하트,1,54
64,항공점퍼,0,18
65,숄더백,1,222
66,독일군,1,15
67,예일,-,0
68,코트,1,9
69,클리어런스,0,6
70,집업,1,58
71,와이드슬랙스,0,11
72,지갑,1,94
73,야상,0,29
74,에코백,1,2
75,패딩조끼,1,7
76,나이키신발,0,5
77,하프집업니트,1,66
78,나이키에어포스1,1,91
79,노스페이스바람막이,1,4
80,나이키운동화,0,16
81,카드지갑,1,35
82,크림진,-,0
83,스웻팬츠,0,22
84,벨트,0,43
85,카고조거팬츠,1,100
86,후드,0,1
87,가죽자켓,0,18
88,스파오,1,39
89,스투시,1,23
90,모드나인,1,184
91,반바지,0,48
92,에어포스,1,28
93,트러커자켓,1,36
94,반집업,0,36
95,오버핏후드티,0,25
96,드로우핏,0,12
97,옥스포드셔츠,1,107
98,플리스,1,5
99,레더자켓,0,20
100,뉴필드,1,160
101,하프집업,1,364
102,YEEZYBOOST,-,0
103,이지폼,-,0
104,원피스,1,11
105,숏패딩,0,1
106,나이키데이브레이크,1,166
107,와이드데님,0,32
108,디스커버리,1,48
109,세미와이드슬랙스,0,22
110,아더에러,-,0
111,토피,0,37
112,회색후드티,1,193
113,오버핏셔츠,1,46
114,야구점퍼,1,442
115,캡모자,0,13
116,트레이닝셋업,1,23
117,여자가디건,1,165
118,아디다스바람막이,1,54
119,점퍼,1,333
120,데님자켓,0,31
121,안경,0,62
122,오버핏맨투맨,1,36
123,쇼퍼백,1,24
124,퀼팅자켓,0,34
125,깡,1,97
126,비바스튜디오,1,276
127,남자가죽자켓,1,28
128,티셔츠,0,42
129,와이드청바지,0,20
130,비슬로우,0,62
131,lmc,0,33
132,캉골,1,225
133,조끼,1,32
134,조던,1,39
135,lee,1,74
136,아디다스이지,-,0
137,뉴발란스327,1,130
138,크록스,1,223
139,나이키맨투맨,0,32
140,치노팬츠,0,18
141,퍼스텝,0,36
142,흑청자켓,1,79
143,바버,1,466
144,세터,1,81
145,제로,0,48
146,더비슈즈,0,54
147,foam,-,0
148,반스어센틱,1,69
149,긴팔티셔츠,0,19
150,라이더자켓,0,54
151,트러커,1,107
152,로퍼,1,88
153,바시티,1,1
154,첼시부츠,0,18
155,아디다스바지,0,42
156,미니멀자켓,1,26
157,하프집업맨투맨,1,92
158,널디,0,67
159,아이패드파우치,1,265
160,트레이닝,1,16
161,흰티,1,205
162,커버낫맨투맨,-,0
163,독일군스니커즈,1,12
164,디스이즈네버댓,1,273
165,스웨트오늘만이가격,1,89
166,니트조끼,1,146
167,제멋,0,105
168,나이키후드티,1,422
169,애플워치스트랩,1,34
170,테이퍼드청바지,1,87
171,브랜디드,0,105
172,숏자켓,1,378
173,생지데님,1,15
174,피쉬테일,-,0
175,크롭후드집업,1,516
176,워커,1,386
177,벌룬팬츠,0,26
178,카라티,1,508
179,트위드자켓,1,29
180,에스피오나지,0,62
181,폴로가디건,1,250
182,골프,1,339
183,그로브,1,67
184,나이키모자,1,152
185,던스트,1,67
186,아디다스유틸리티,-,0
187,우신사,-,0
188,뉴발란스운동화,0,56
189,니트베스트,1,22
190,반팔티셔츠,0,110
191,식스핏깡,-,0
192,시계,0,54
193,아디다스운동화,0,69
194,카라가디건,1,161
195,컨버스하이,1,164
196,퀄팅자켓,1,234
197,폴로셔츠,1,38
198,엘무드,0,104
199,연청바지,1,207
200,바람막이자켓,1,16
201,카고팬츠,1,29
202,뽀글이,1,116
203,유니폼브릿지,-,0
204,트래블,0,52
205,페플,1,256
206,나이키조던운동화,1,318
207,디스커버리바람막이,1,138
208,라운드넥가디건,1,77
209,아디다스윈드브레이커,-,0
210,후아유,0,99
211,뉴발란스550,-,0
212,래플,1,50
213,이지부스트,1,51
214,에센셜,-,0
215,스웻셋업,0,114
216,남자카드지갑,1,447
217,mlb,0,84
218,인사일런스,0,20
219,긴팔티,0,82
220,뮬,1,22
221,세미와이드청바지,-,0
222,아이폰케이스,0,91
223,운동복,-,0
224,크롭,1,8
225,기능성반팔,-,0
226,꼼파뇨,-,0
227,더플코트,-,0
228,살로몬,0,82
229,플랙,1,166
230,에어팟프로케이스,-,0
231,세미와이드,0,7
232,양털후리스,1,176
233,나이키킬샷,1,76
234,니티드,1,4
235,수아레,0,15
236,칼하트후드집업,0,5
237,토마스모어,-,0
238,리복,-,0
239,면바지,0,60
240,부츠,0,106
241,청재킷,0,61
242,캉골가방,0,36
243,캘빈클라인,0,69
244,키르시,1,118
245,팔찌,1,265
246,나이키바지,1,62
247,나이키조던,1,23
248,럭비티,0,34
249,비건레더,1,172
250,아디다스슈퍼스타,0,131
251,아미,-,0
252,목걸이,0,129
253,아디다스슬리퍼,-,0
254,우알롱,-,0
255,슈펜,1,149
256,자라,-,0
257,뉴발란스574,1,85
258,라퍼지스토어럭비맨투맨,1,341
259,마하그리드,1,118
260,디미트리블랙윈드자켓,1,1
261,머슬핏,1,280
262,흑청바지,1,151
263,목폴라,-,0
264,패딩,1,1
265,팬츠,1,128
266,남자크로스백,-,0
267,블랙진,1,153
268,MA1,0,162
269,반지,0,73
270,볼레로,1,484
271,여성트레이닝복세트,1,54
272,카라니트,1,57
273,트레이닝셋업세트,-,0
274,남자가방,0,129
275,숏야상,0,127
276,스타디움자켓,0,168
277,오버핏가디건,-,0
278,그라미치,0,41
279,나이키반팔,1,92
280,나이키에어맥스97,1,57
281,와이셔츠,-,0
282,쿠어니트,-,0
283,뉴발란스슬리퍼,-,0
284,챔피온,-,0
285,카고바지,1,103
286,컨버스척테일러,1,5
287,fcmm,1,180
288,나이키윈드러너,-,0
289,마르디,0,149
290,봄,-,0
291,스트라이프,1,8
292,슬링백,1,260
293,일꼬르소,-,0
294,카디건,-,0
295,푸마,-,0
296,humble,-,0
297,깔깔이,0,87
298,나이키조거팬츠,0,154
299,반팔셔츠,-,0
300,발마칸코트,1,246
