rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,마르니,여성미디움사피아노트렁크숄더백-블랙/SBMPN09NO1LV520ZN99N,"2,830,000원","1,250,000원",-,-,새벽배송 예정
2위,아식스,젤-카야노14-크림:퓨어실버/1201A019-105,"159,000원",-,1,1,-
3위,프라다,사피아노럭스스몰1BA333NZVF0002N2A여자토트겸숄더백,"2,404,000원",-,-,-,-
4위,노스페이스,NM2DM51A_빅샷,"140,000원","126,000원",1,3,2/24배송 예정
5위,아노블리어,오버핏크롭카라가디건[블랙],"110,500원","77,300원",0,1,3/18배송 예정
6위,제로,DeepOneTuckSweatPants[Grey],"39,000원",-,-,-,-
7위,하 아카이브,아크블랙메신저백,"79,000원","75,050원",1,5,3/3배송 예정
8위,스탠드오일,Oblongbag·오블롱백,"119,000원","113,050원",0,3,3/3배송 예정
9위,보테가베네타,남성인트레치아토레더클러치-블랙/684509VCPQ38803,"1,565,000원","910,000원",1,23,새벽배송 예정
10위,예일,(22ALL)2TONEARCHHOODIEGRAY,"79,000원","39,500원",1,4,-
11위,아디다스,BW아미-화이트/BZ0579,"139,000원","119,900원",1,10,-
12위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","39,000원",1,1,-
13위,라퍼지스토어,[이동휘착용][리뉴얼ver.][3M신슐레이트]오리지널M-1965피쉬테일파카_OriginalKhaki,"138,000원","99,900원",1,36,-
14위,커버낫,어센틱로고럭색33L블랙,"99,000원","89,100원",1,3,-
15위,알파 인더스트리,MA-1레귤러Black,"225,000원",-,1,20,-
16위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","29,900원",-,-,-
17위,도프제이슨,오버핏램스킨싱글자켓,"339,000원","225,000원",1,5,-
18위,무신사 스탠다드,[유아인착용상품]릴렉스드베이식블레이저[블랙],"71,900원","64,690원",-,-,-
19위,스탠드오일,OblongbagMini·오블롱백미니,"96,000원","91,200원",0,5,-
20위,메종 마르지엘라,여성4스티치트리폴드지갑-블랙/S36UI0422P4455T8013,"440,000원","335,000원",0,13,새벽배송 예정
21위,무신사 스탠다드,[베스트아이템]테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원","29,590원",1,1,-
22위,컨버스,런스타하이크블랙166800C,"109,000원","98,100원",1,22,-
23위,예일,WARMUPQUILTINGJACKETBLACK,"99,000원","64,350원",1,9,-
24위,네이키드니스,앱솔루트백팩블랙,"94,000원","68,500원",1,35,-
25위,컨버스,척테일러올스타블랙옥스M9166C,"55,000원",-,1,35,-
26위,로맨틱무브,베이스먼트더비R21M042(BX블랙),"168,000원","124,000원",1,79,-
27위,파르티멘토,[비건레더]필드자켓블랙,"111,700원","89,900원",1,4,-
28위,라퍼지스토어,[리뉴얼ver.][3M신슐레이트]M-1965피쉬테일숏파카_VintageBlack,"129,000원","79,800원",0,1,3/10배송 예정
29위,에스에스알엘,dualpocketmessengerbag/black,"119,000원","92,800원",1,5,-
30위,무신사 스탠다드,[유아인착용상품]세미와이드히든밴딩슬랙스[블랙],"32,900원",-,1,39,-
31위,몽클레어,남성하이넥재킷-블랙/G20978G7000080093999,"840,000원","466,000원",0,24,새벽배송 예정
32위,나이키,데이브레이크운동화CK2351-101,"199,000원","118,700원",0,5,-
33위,엄브로,DANKERLIGHT(댄커라이트)블랙(UN123CBP17),"149,000원",-,1,10,-
34위,컨버스,척70클래식블랙162058C,"95,000원",-,1,17,-
35위,컨버스,척70클래식블랙162050C,"99,000원",-,1,39,-
36위,토피,와이드데님팬츠(LIGHTBLUE),"49,000원","44,100원",1,6,-
37위,노드 아카이브,와이드테이퍼드치노팬츠(라이트카키),"148,000원",-,0,13,3/2배송 예정
38위,아식스,젤-카야노14-피드몬트:글래시어그레이/1201A161-021,"159,000원",-,-,-,-
39위,메종 키츠네,공용칠렉스폭스패치클래식후드-블랙/IU00355KM0001P199,"375,000원","250,000원",1,6,새벽배송 예정
40위,발렌시아가,22SS로고클러치블랙6556051IZI31090,"950,000원",-,0,20,-
41위,소니,WH-1000XM4노이즈캔슬링블루투스헤드폰,"459,000원","410,000원",0,28,-
42위,몽클레어,여성카르돈셀숏다운재킷-블랙/G20931A0003254155999,"2,200,000원","1,709,000원",0,37,새벽배송 예정
43위,네이키드니스,메쉬스트링백팩블랙,"69,000원","50,800원",1,106,-
44위,메종미네드,NOBLECROPOVERMA-1BLACK,"229,000원","178,000원",0,4,3/4배송 예정
45위,무신사 스탠다드,[유아인착용상품]와이드히든밴딩슬랙스[블랙],"32,900원",-,1,16,-
46위,라퍼지스토어,[매트블랙]버핑레더미니멀포켓블루종_MattBlack,"94,000원","79,800원",0,15,3/4배송 예정
47위,반스,어센틱-레드/VN000EE3RED1,"69,000원",-,1,31,-
48위,안데르센 안데르센,스키퍼Black,"499,000원",-,0,36,-
49위,토피,와이드데님팬츠(DEEPGREY),"49,000원","44,100원",1,27,2/25배송 예정
