rank,name,increase,increase_cnt
1,후드티,-,0
2,맨투맨,-,0
3,니트,-,0
4,나이키,-,0
5,후드집업,-,0
6,백팩,1,3
7,가디건,0,1
8,조거팬츠,0,1
9,반스,1,3
10,비니,-,0
11,컨버스,-,0
12,메신저백,1,7
13,가방,1,9
14,히로,1,9
15,슬리퍼,1,1
16,레이어드티,1,4
17,반팔,1,7
18,코트,0,1
19,숏패딩,1,6
20,엘무드,1,1
21,청바지,1,7
22,모자,0,8
23,바람막이,0,8
24,마크곤잘레스,0,11
25,나이키에어포스,1,9
26,바시티자켓,0,8
27,슬랙스,1,2
28,바지,1,12
29,블레이저,1,17
30,커버낫,1,2
31,양말,0,5
32,신발,1,7
33,셔츠,0,3
34,스니커즈,1,7
35,무탠다드,1,3
36,자켓,0,9
37,셋업,1,5
38,오트리,0,30
39,후드,0,2
40,운동화,0,9
41,지갑,1,7
42,에스피오나지,1,8
43,후리스,0,10
44,아노락,0,1
45,에코백,1,4
46,폴로,0,1
47,크로스백,1,9
48,패딩,1,25
49,트레이닝세트,0,2
50,트레이닝바지,1,1
51,아디다스,0,15
52,예일,0,17
53,mmgl,1,183
54,아우터,1,7
55,카드지갑,0,11
56,나이키신발,0,3
57,나이키에어포스1,1,8
58,에어포스,1,13
59,반팔티,0,1
60,목걸이,-,0
61,와이드팬츠,1,22
62,블루종,0,10
63,니트집업,1,18
64,쿠어,1,2
65,남자가디건,1,9
66,레더자켓,1,23
67,와이드슬랙스,0,13
68,칼하트,1,23
69,벨트,1,21
70,비바스튜디오,0,15
71,오늘만이가격,1,113
72,청자켓,1,14
73,클리어런스,0,11
74,모드나인,0,15
75,뉴발란스,0,18
76,스파오,1,29
77,반집업,1,51
78,lmc,1,1
79,경량패딩,0,16
80,바시티,0,5
81,독일군,1,13
82,치노팬츠,1,73
83,캡모자,1,1
84,롱슬리브,1,46
85,오버핏후드티,1,7
86,하프집업니트,1,43
87,항공점퍼,0,19
88,마뗑킴,1,26
89,롱패딩,0,2
90,야상,1,67
91,스투시,1,5
92,크림진,1,73
93,lee,0,15
94,아이폰케이스,0,14
95,조던,1,18
96,토피,0,8
97,가죽자켓,0,27
98,크록스,-,0
