rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,엘무드,화란세미오버니트블랙,"89,900원","63,900원",-,-,-
2위,나이키,데이브레이크운동화CK2351-101,"199,000원","118,700원",0,1,-
3위,컨버스,척70클래식블랙162050C,"99,000원","89,100원",0,1,-
4위,엘무드,화란세미오버니트크림,"89,900원","63,900원",0,1,-
5위,엘무드,컨템포러리바시티자켓블랙,"188,000원","150,400원",1,3,2/25배송 예정
6위,컨버스,척70클래식블랙162058C,"95,000원","85,500원",0,2,-
7위,도프제이슨,오버핏비건레더싱글자켓,"119,000원","89,000원",-,-,2/25배송 예정
8위,제로,DeepOneTuckSweatPants[Grey],"39,000원",-,1,2,-
9위,라퍼지스토어,[이동휘착용][리뉴얼ver.][3M신슐레이트]오리지널M-1965피쉬테일파카_OriginalKhaki,"138,000원","99,900원",-,-,-
10위,아디다스,BW독일군스니커즈-화이트/BZ0579,"139,000원","119,900원",0,3,-
11위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","39,000원",1,1,-
12위,하 아카이브,아크블랙메신저백,"79,000원","75,050원",0,10,-
13위,반스,컴피쿠시원-(체커보드)블랙:마시멜로우,"109,000원",-,0,3,-
14위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","29,900원",0,4,-
15위,예일,WARMUPQUILTINGJACKETBLACK,"99,000원","64,350원",-,-,-
16위,생로랑,모노그램푸퍼체인백6203331EL001000BLACK,"3,093,000원","1,973,000원",1,5,-
17위,컨버스,런스타하이크블랙166800C,"109,000원","98,100원",0,50,-
18위,라퍼지스토어,[리뉴얼ver.][3M신슐레이트]M-1965피쉬테일숏파카_VintageBlack,"129,000원","79,800원",0,27,3/2배송 예정
19위,엘무드,화란세미오버가디건블랙,"94,900원","76,400원",0,5,-
20위,컨버스,척70클래식파치먼트162062C,"95,000원","85,500원",0,12,-
21위,도프제이슨,[프리미엄]오버핏램스킨베지터블보머자켓,"410,000원","330,000원",1,7,2/17배송 예정
22위,아르반,2WAY스냅블루종_아이보리,"136,000원","115,600원",0,5,-
23위,도프제이슨,오버핏램스킨싱글자켓,"339,000원","225,000원",1,11,-
24위,엘무드,화란세미오버가디건클라우드그레이,"94,900원","76,400원",1,5,-
25위,인사일런스,울싱글트렌치코트MUDBROWN,"249,000원","211,000원",0,27,-
26위,소니,WH-1000XM4노이즈캔슬링블루투스헤드폰,"459,000원","399,000원",0,15,-
27위,라퍼지스토어,[매트블랙]버핑레더미니멀포켓블루종_MattBlack,"94,000원","69,900원",1,10,2/28배송 예정
28위,파르티멘토,[비건레더]필드자켓블랙,"111,700원","89,900원",0,12,-
29위,엄브로,DANKERLIGHT(댄커라이트)블랙(UN123CBP17),"149,000원",-,0,7,-
30위,도프제이슨,램스킨100라이더자켓,"289,000원","225,000원",1,5,-
31위,토피,와이드데님팬츠(LIGHTBLUE),"49,000원","44,100원",1,1,-
32위,스톤아일랜드,남성와펜패치가먼트다이크링클렙스후드재킷-블랙/751542223V0029,"1,205,000원","810,000원",0,999,새벽배송 예정
33위,라퍼지스토어,[이동휘착용][리뉴얼ver.][3M신슐레이트]오리지널M-1965피쉬테일파카_VintageBlack,"138,000원","99,900원",1,10,-
34위,도프제이슨,오버핏비건레더보머자켓,"119,000원","95,000원",1,5,2/17배송 예정
35위,엘무드,화란세미오버니트제주,"89,900원","63,900원",1,4,-
36위,플랙,스티즈B31인디고로우,"129,000원","59,000원",0,13,-
37위,무신사 스탠다드,[베스트아이템]테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원","29,590원",1,4,-
38위,삼성전자,갤럭시북SNT767XCL-KLTE(LTE겸용모델),"949,000원",-,1,12,-
39위,토피,와이드데님팬츠(DEEPGREY),"49,000원","44,100원",0,20,-
40위,가까이 유니언즈,원턱와이드스웨트팬츠그레이,"52,000원","36,400원",0,2,-
41위,노스페이스,NJ2YM51A히말라야리얼벤트파카,"890,000원","801,000원",1,21,-
