rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","33,900원",1,4,-
2위,컨버스,척70클래식블랙162050C,"99,000원",-,1,10,-
3위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","42,500원",1,1,-
4위,라퍼지스토어,[매트블랙]버핑레더미니멀포켓블루종_MattBlack,"94,000원","69,900원",1,2,-
5위,파르티멘토,코드후드집업자켓스모크그레이,"62,000원","49,900원",1,15,-
6위,아디다스,BW아미-화이트/BZ0579,"139,000원","119,900원",0,5,-
7위,도프제이슨,오버핏램스킨봄버점퍼,"345,000원","239,000원",1,16,-
8위,마르디 메크르디,RACCOONBLENDEDCARDIGANVNECK_PINKBLUE,"148,000원","118,400원",1,156,3일지연 예정
9위,폴로 랄프 로렌,커스텀핏옥스포드셔츠-블루,"179,000원",-,0,7,-
10위,도프제이슨,오버핏램스킨싱글자켓,"339,000원","225,000원",1,5,-
11위,드로우핏,오버사이즈울트렌치코트[BEIGE],"209,000원","156,700원",-,-,-
12위,메종 마르지엘라,남성레플리카스니커즈-화이트/S57WS0236P1895101,"691,000원","466,000원",0,9,새벽배송 예정
13위,반스,컴피쿠시원-(체커보드)블랙:마시멜로우,"109,000원",-,1,36,-
14위,[스웨트오늘만이가격],사계절스트링트레이닝팬츠(그레이),"60,000원","36,000원",1,2,3/21배송 예정
15위,어널러코드,[SET]YKK2-WAY테크숏자켓셋업_그레이,"127,900원","79,900원",0,8,-
16위,코드그라피,P-6로고업라이절후드티39622-NENA,"219,000원","170,800원",1,999,-
17위,파타고니아,아크로마운트1183B257_101,"190,000원",-,1,20,3/18배송 예정
18위,오니츠카타이거,DeepOneTuckSweatPants[Grey],"39,000원","37,050원",0,10,3/18배송 예정
19위,제로,오버핏옥스포드셔츠_SPYWC12C02,"29,900원",-,1,65,-
20위,스파오,[유아인착용상품]릴렉스드베이식블레이저[블랙],"71,900원",-,0,11,-
21위,무신사 스탠다드,데이브레이크운동화CK2351-101,"199,000원","115,100원",0,8,-
22위,나이키,워셔블하찌니트-10COLOR,"59,000원","35,400원",1,20,3/28배송 예정
23위,수아레,WRAWEDGEDENIMCOATblue,"299,000원",-,-,-,-
24위,마리떼,조그100SSMU-라이트그레이:미드그레이/1201A564-020,"69,000원",-,1,72,-
25위,아식스,WARMUPQUILTINGJACKETBLACK,"99,000원","64,350원",1,39,-
26위,예일,BEAN[OFFWHITE],"288,000원",-,-,-,-
27위,오소이,제이든블랙폴리시드스무스15265001,"280,000원",-,1,999,-
28위,닥터마틴,INTL.TeamJacketBlack,"109,000원",-,0,6,-
29위,디스이즈네버댓,버핑레더오버핏블루종_Black,"94,000원","69,900원",0,10,-
30위,라퍼지스토어,[Woman]포플린코튼와이드칼라맥코트_Begie,"138,000원","124,000원",1,671,-
31위,라퍼지 포 우먼,스몰트위치오버핏후디그레이,"79,000원","51,350원",1,25,-
32위,[스웨트오늘만이가격],노맨틱히든라이닝HQ자켓블랙,"258,000원",-,-,-,3/23배송 예정
33위,리,오버핏비건레더싱글자켓,"119,000원","89,000원",1,114,4/8배송 예정
34위,비욘드클로젯,YKK2-WAY테크숏자켓_블랙,"79,000원","63,200원",1,5,-
35위,도프제이슨,오버사이즈울블레이저BLACK,"172,000원","146,000원",0,25,-
36위,코드그라피,와이드데님팬츠(LIGHTBLUE),"49,000원","44,100원",1,19,-
37위,인사일런스,더블니트풀집후디-네이비,"219,000원",-,1,999,-
38위,토피,AthleticTrackJacketBlack,"216,000원",-,1,999,-
39위,폴로 랄프 로렌,테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원",-,0,14,-
40위,에스피오나지,우먼즈오버사이즈블레이저[블랙],"71,900원",-,1,85,-
41위,무신사 스탠다드,[핏더사이즈X슈펜]Seku-shi(세쿠시)첼시부읏츠BYTM20W12,"139,000원","125,000원",1,81,-
42위,무신사 스탠다드,오디너리크롭가디건블랙,"94,900원","75,920원",1,179,-
43위,슈펜,[오리지널스]22SSCOMFYCARPENTERSELVAGEDENIMPANTSBLACK,"99,000원","89,100원",1,295,-
44위,엘무드,에센셜쿨코튼2-PACK티셔츠,"49,000원","44,100원",1,220,-
45위,비슬로우,[비건레더]필드자켓블랙,"111,700원","89,900원",0,11,-
46위,커버낫,[오리지널스]22SSTRUCKERMA-1JUMPERBLACK,"149,000원","134,100원",0,29,-
47위,파르티멘토,7H57602남성사나래고어텍스,"249,000원","199,200원",-,-,-
48위,비슬로우,3S우븐트랙수트세트-블랙/GK9950,"75,000원","34,900원",1,4,-
49위,네파,플리스크루넥스웨트셔츠-오렌지,"189,000원",-,1,999,-
50위,아디다스,[유아인착용상품]세미와이드히든밴딩슬랙스[블랙],"32,900원",-,0,19,-
51위,폴로 랄프 로렌,와이드히든밴딩슬랙스[미디엄그레이],"32,900원",-,1,435,-
52위,무신사 스탠다드,22ssutilitymountainjacketblack,"179,000원",-,0,34,3/22배송 예정
53위,무신사 스탠다드,EMBROIDERYHANDSOMEDANHOODIEZIPUPGRAY,"89,000원","53,400원",1,73,3/18배송 예정
54위,유니폼브릿지,4.5cm소가죽코만도첼시부츠루틴(CR0011),"99,000원","84,150원",1,225,-
55위,예일,원턱와이드스웨트팬츠그레이,"52,000원","36,400원",1,40,-
56위,커스텀에이드,INDIGOJACKDENIMTRUCKER,"218,000원","178,000원",1,999,-
57위,가까이 유니언즈,다이애그널레이즈드플리스집포켓맨투맨(BLACK),"260,000원","182,900원",-,-,-
58위,메종미네드,롱슬리브포플린셔츠-화이트,"179,000원",-,1,999,-
59위,씨피 컴퍼니,[정호연착용]시티마라톤PT-베이지:네이비/D67397,"119,000원","114,900원",0,33,-
60위,폴로 랄프 로렌,[패키지]루즈핏조거트레이닝스웨트팬츠,"66,800원","39,900원",1,314,-
61위,아디다스,워크와이드데님팬츠,"179,000원",-,-,-,-
62위,브렌슨,조그1002-블랙:블랙/TJG138-9090,"69,000원",-,1,214,-
63위,스위치123,와이드데님팬츠(DEEPGREY),"49,000원","44,100원",0,19,-
64위,아식스,RayYachtParkaBlack,"129,000원","119,000원",0,33,3/29배송 예정
65위,토피,엔젤와펜가디건블랙,"89,000원",-,1,999,-
66위,에스피오나지,Slingback(Deepsleep)_OK1DX22008BLK,"179,000원",-,-,-,-
67위,와릿이즌,오버사이즈울블레이저DARKGREY,"172,000원","146,000원",0,22,-
68위,아카이브앱크,레이어드크루넥반팔티셔츠_일반기장[화이트],"13,900원",-,1,2,-
69위,인사일런스,커리플로우9농구화3024248-102,"175,000원",-,1,999,-
70위,무신사 스탠다드,dualpocketmessengerbag/black,"119,000원","92,800원",1,451,-
71위,언더아머,MGOT21FW109BK,"218,000원","174,400원",-,-,-
72위,에스에스알엘,오버사이즈블레이저[블랙],"71,900원",-,0,26,-
73위,만지,OblongbagMini·오블롱백미니,"96,000원",-,1,43,-
74위,무신사 스탠다드,WCOLLAGEDENIMPANTSblue,"169,000원",-,-,-,-
75위,스탠드오일,N214WFT910여성몬타나니트&다운믹스풀집업IVORY,"169,000원",-,1,999,-
76위,마리떼,미시간울버린피그먼트반팔티블랙차콜,"39,000원","25,900원",1,159,-
77위,내셔널지오그래픽,B501KKBikeDenim(Kevlar),"169,000원",-,1,999,-
78위,트래블,오버핏비건레더윈드브레이커자켓(블랙),"139,000원","98,800원",1,775,-
79위,데님인디고마스터,오버사이즈울트렌치코트[GREYISHBEIGE],"209,000원","156,700원",0,51,-
80위,도프제이슨,릴렉스드테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원",-,1,8,-
81위,드로우핏,[유아인착용상품]빅대디오버사이즈블레이저[블랙],"83,900원",-,1,999,-
82위,무신사 스탠다드,남성반지갑113211BLACK,"495,000원","325,000원",0,63,-
83위,무신사 스탠다드,(VLADIMIR)워터프루프유틸리티테크셋업(윈드자켓),"177,000원","132,750원",1,259,-
84위,몽블랑,베이직로고바람막이NY(Ivory),"159,000원",-,-,-,-
85위,디미트리블랙,twotuckdenimpantslightindigo,"99,000원",-,1,113,-
86위,엠엘비,DELIGHT후드아노락화이트(UN121CWT21),"159,000원",-,1,999,-
87위,유니폼브릿지,라이더스자켓램레더(블랙),"295,000원","206,500원",0,75,-
88위,엄브로,릴랙스드팬츠PB-블랙/GD2273,"89,000원","79,900원",0,61,-
89위,로파이,NM2DM51A_빅샷,"140,000원","126,000원",1,654,-
90위,아디다스,[Woman]버핑레더미니멀블루종_Black,"87,000원","69,800원",1,352,-
91위,비슬로우,[오리지널스]22SSCOMFYCARPENTERSELVAGEDENIMPANTSINDIGO,"99,000원","89,100원",1,19,-
92위,아모멘토,NYLON3WAYBAG_BEIGE,"159,000원","151,050원",1,999,-
93위,엠엔지유,오버사이즈드블루종IN챠콜-그레이,"219,000원","197,100원",0,63,-
94위,버빌리안,럭셔리백팩_Black,"135,000원","69,800원",1,999,-
95위,마르디 메크르디,SWEATSHIRTUNIV_OATMEALBLACK,"75,000원","60,000원",1,13,3일지연 예정
96위,마인드브릿지,[정해인착용]고밀도순면기본반팔티셔츠_3팩MATS0101,"19,900원",-,1,50,-
97위,폴로 랄프 로렌,아이코닉필드재킷-카키,"599,000원",-,0,24,-
98위,폴로 랄프 로렌,커스텀핏옥스포드셔츠-화이트,"179,000원",-,0,20,-
99위,로드로아르,여성뒷포켓주름스커트-IVORY,"218,000원","196,200원",0,67,-
100위,엘무드,컨템포러리바시티자켓블랙,"188,000원","150,400원",1,137,4/8배송 예정
101위,폴로 랄프 로렌,더블니트스웨트셔츠-네이비,"189,000원",-,0,66,-
102위,브랜디드,1880PURECREAMJEANS[WIDESTRAIGHT],"78,000원","68,000원",1,999,-
