rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,스톤아일랜드,남성와펜패치가먼트다이크링클렙스후드재킷-블루/751542223V0020,"1,205,000원","754,000원",-,-,새벽배송 예정
2위,엠엘비,청키라이너(CHUNKYLINER)NY(OffWhite),"139,000원",-,0,2,-
3위,골든구스,여성슈퍼스타실버탭실버스타스니커즈-화이트:실버스파클/GWF00101F00031480185,"698,000원","369,000원",1,166,새벽배송 예정
4위,제로,DeepOneTuckSweatPants[Grey],"39,000원",-,0,2,-
5위,알파 인더스트리,MA-1레귤러배틀워시Teal,"285,000원",-,0,4,-
6위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","29,900원",1,9,-
7위,예일,(22ALL)2TONEARCHHOODIEGRAY,"79,000원","39,500원",0,2,-
8위,알파 인더스트리,MA-1레귤러Black,"225,000원",-,1,6,-
9위,라퍼지스토어,[리뉴얼ver.][3M신슐레이트]M-1965피쉬테일숏파카_VintageBlack,"129,000원","79,800원",1,17,3/2배송 예정
10위,라퍼지스토어,[이동휘착용][리뉴얼ver.][3M신슐레이트]오리지널M-1965피쉬테일파카_OriginalKhaki,"138,000원","99,900원",0,7,-
11위,도프제이슨,오버핏비건레더싱글자켓,"119,000원","89,000원",0,2,2/25배송 예정
12위,나이키,데이브레이크운동화CK2351-101,"199,000원","118,700원",1,1,-
13위,비긴202,Super100sWashableWoolGabardineCoat[Olive_X_Orange],"398,000원",-,0,5,-
14위,엘무드,화란세미오버가디건클라우드그레이,"94,900원","76,400원",1,4,-
15위,디스커버리 익스페디션,레스터G남성RDS구스다운롱패딩(BLACK),"399,000원",-,0,8,-
16위,파르티멘토,[비건레더]필드자켓블랙,"111,700원","89,900원",0,12,-
17위,하 아카이브,아크블랙메신저백,"79,000원","75,050원",0,7,-
18위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","39,000원",0,1,-
19위,오니츠카타이거,멕시코661183A942_101,"140,000원",-,1,999,-
20위,매스노운,다이버시티리얼레더바시티자켓MWOJK001-BK,"329,000원","263,200원",1,999,-
21위,컨버스,척70클래식블랙162050C,"99,000원",-,1,39,-
22위,인사일런스,풀업레더크롭자켓DARKBROWN,"389,000원","330,000원",0,16,2/22배송 예정
23위,엘무드,화란세미오버니트블랙,"89,900원","63,900원",1,40,-
24위,로스트가든,Max_bl,"275,000원","247,500원",1,999,-
25위,토피,와이드조거스웻팬츠(MELANGEGREY),"39,000원","36,000원",1,4,-
