rank,name,increase,increase_cnt
1,맨투맨,-,0
2,후드티,1,1
3,후드집업,1,2
4,바람막이,0,2
5,가디건,0,1
6,반팔,-,0
7,나이키,-,0
8,조거팬츠,-,0
9,반스,1,6
10,마크곤잘레스,1,19
11,니트,-,0
12,양말,1,12
13,반팔티,1,31
14,컨버스,1,25
15,자켓,0,3
16,셔츠,0,7
17,슬리퍼,1,1
18,아노락,1,1
19,메신저백,1,22
20,슬랙스,1,8
21,블레이저,0,11
22,운동화,0,8
23,스니커즈,1,42
24,블루종,0,8
25,나이키에어포스,0,2
26,청바지,0,4
27,이벳필드,1,33
28,트레이닝바지,1,86
29,나이키바람막이,1,16
30,커버낫,1,18
31,후리스,1,37
32,바지,1,8
33,쿠어,1,3
34,버킷햇,-,0
35,백팩,0,2
36,크로스백,1,41
37,신발,1,12
38,바시티자켓,0,4
39,본챔스,1,11
40,아우터,1,7
41,남자가디건,1,2
42,나이키신발,0,12
43,가방,1,24
44,무탠다드,1,2
45,모자,0,24
46,트레이닝세트,0,19
47,윈드브레이커,1,16
48,청자켓,0,22
49,경량패딩,1,89
50,와이드팬츠,1,8
51,셋업,0,26
52,아식스,1,3
53,레이어드티,1,6
54,아디다스,0,22
55,세터,0,35
56,후드,1,25
57,생지데님,0,19
58,반바지,1,46
59,에코백,0,3
60,벨트,0,25
61,아미,1,13
62,더비슈즈,1,116
63,오버핏셔츠,1,26
64,나이키운동화,1,8
65,와이드슬랙스,0,3
66,봄아우터,1,424
67,항공점퍼,1,60
68,나이키후드집업,1,486
69,오버핏후드티,0,8
70,야구점퍼,1,14
71,롱슬리브,0,54
72,마르디,0,41
73,세미와이드슬랙스,1,82
74,뉴발란스,1,4
75,폴로,0,38
76,가죽자켓,0,7
77,크록스,1,39
78,바시티,1,8
79,트렌치코트,1,82
80,독일군,0,14
81,제로,1,96
82,예일,0,30
83,지갑,1,2
84,니트조끼,1,49
85,원피스,1,11
86,치노팬츠,0,32
87,아디다스바람막이,1,54
88,에어포스,0,37
89,캡모자,1,63
90,야상,1,40
91,모드나인,1,6
92,반집업,0,17
93,레더자켓,1,31
94,lmc,1,148
95,나이키에어포스1,0,15
96,잠옷,1,47
97,칼하트,0,44
98,식스핏,1,345
99,와이드데님,1,894
100,반스어센틱,1,240
101,나이키반팔,1,159
102,니트집업,0,29
103,코트,1,57
104,로퍼,0,14
105,시계,-,0
106,첼시부츠,-,0
107,캐치볼,1,39
108,조던,1,13
109,크림진,1,80
110,커버낫맨투맨,1,131
111,스타디움자켓,1,388
112,흑청바지,-,0
113,반팔티셔츠,1,228
114,카드지갑,0,72
115,목걸이,0,10
116,비바스튜디오,1,59
117,키르시,-,0
118,노메뉴얼,-,0
119,트레이닝셋업,0,11
120,클리어런스,1,17
121,집업,0,9
122,나이키후드티,1,189
123,레이어드,1,2
124,스웻팬츠,1,450
125,패딩조끼,1,162
126,스파오,1,120
127,유니온블루,0,7
128,데님팬츠,1,164
129,푸마아미,1,61
130,크롭,1,23
131,크롭티,0,18
132,회색후드티,-,0
133,카고팬츠,1,2
134,아디다스운동화,1,79
135,드로우핏,0,4
136,에스피오나지,1,21
137,플랙,1,190
138,골프,1,71
139,스컬프터,0,21
140,오버핏맨투맨,0,49
141,예일후드티,1,44
142,컨버스런스타하이크,1,473
143,트러커자켓,1,183
144,여자조거팬츠,1,366
145,베스트,1,82
146,옥스포드셔츠,1,58
147,뉴발란스574,1,64
148,1507,1,34
149,뮬,1,168
150,카라티,1,1
151,흰티,1,21
152,디스이즈네버댓후드티,1,181
153,비슬로우,0,50
154,슬링백,-,0
155,점퍼,0,79
156,939,1,17
157,뉴발란스운동화,1,77
158,티셔츠,0,57
159,후아유,0,31
160,디스커버리,0,37
161,캘빈클라인,0,62
162,뉴발란스바람막이,-,0
163,도프제이슨,-,0
164,제멋,0,94
165,닥터마틴,-,0
166,디스이즈네버댓,1,8
167,숄더백,0,84
168,바람막이자켓,1,95
169,토트백,0,33
170,가니,1,373
171,노스페이스바람막이,1,79
172,여자가디건,1,418
173,메리제인,1,526
174,프라다,1,25
175,라이더자켓,1,73
176,나이키모자,0,54
177,라코스테,1,23
178,쇼퍼백,1,16
179,안경,0,84
180,남자봄아우터,-,0
