rank,name,increase,increase_cnt
1,반팔,-,0
2,바람막이,-,0
3,후드집업,-,0
4,반팔티,-,0
5,맨투맨,-,0
6,셔츠,-,0
7,반바지,1,1
8,가디건,0,1
9,나이키,1,3
10,후드티,0,1
11,양말,0,1
12,나이키바람막이,0,1
13,슬랙스,1,1
14,반스,0,1
15,마크곤잘레스,-,0
16,슬리퍼,1,2
17,조거팬츠,-,0
18,모자,1,1
19,컨버스,1,2
20,바지,0,4
21,오버핏셔츠,0,1
22,백팩,1,6
23,무탠다드,1,4
24,청바지,1,2
25,블레이저,1,6
26,가방,1,4
27,아노락,0,2
28,롱슬리브,0,4
29,오버핏반팔,1,4
30,메신저백,0,8
31,셋업,1,15
32,버킷햇,-,0
33,니트,1,1
34,크로스백,0,5
35,나이키반팔,1,2
36,에센셜,0,13
37,트레이닝바지,0,1
38,나이키에어포스,1,15
39,커버낫,-,0
40,반팔셔츠,1,62
41,스니커즈,1,7
42,크록스,1,12
43,자켓,1,2
44,신발,0,6
45,아디다스,1,2
46,쿠어,1,9
47,청자켓,0,4
48,예일,1,1
49,스투시,1,17
50,에코백,0,8
51,운동화,1,1
52,와이드팬츠,0,17
53,폴로,0,2
54,와이드슬랙스,0,22
55,벨트,0,14
56,윈드브레이커,1,17
57,칼하트,1,8
58,카라티,1,2
59,남자가디건,0,19
60,반팔니트,1,15
61,레이어드티,0,5
62,반팔티셔츠,1,2
63,트레이닝세트,1,6
64,옥스포드셔츠,1,17
65,니트조끼,0,15
66,마르디,1,11
67,더비슈즈,1,55
68,아식스,1,25
69,아디다스바람막이,0,10
70,세미와이드슬랙스,1,9
71,카드지갑,0,10
72,나이키신발,0,1
73,원피스,1,21
74,뮬,0,16
75,뉴발란스,0,1
76,긴팔티셔츠,1,30
77,숄더백,1,22
78,나이키에어포스1,1,265
79,티셔츠,0,22
80,나이키운동화,1,28
81,긴팔티,0,18
82,나이키반바지,0,6
83,독일군,1,34
84,지갑,0,14
85,치노팬츠,1,16
86,칼하트반팔,1,30
87,캡모자,0,20
88,반스어센틱,1,87
89,에어포스,1,21
90,조끼,0,5
91,반팔카라티,1,20
92,스파오,0,30
93,샌들,1,32
94,lmc,1,18
95,크롭티,1,20
96,린넨셔츠,1,60
97,lee,0,10
98,아우터,0,16
99,커버낫반팔,1,61
100,크림진,1,21
101,로퍼,0,21
102,mlb,1,69
103,디스이즈네버댓,1,502
104,나일론팬츠,1,260
105,남자반팔티,1,25
106,셋업수트,1,105
107,남자메신저백,1,122
108,메종키츠네,1,5
109,스컬프터,-,0
110,아미,0,38
111,쇼퍼백,0,20
112,흰티,0,7
113,나이키양말,1,75
114,아이폰케이스,1,14
115,여자가디건,0,18
116,반집업,1,56
117,아디다스바지,1,119
118,집업,1,15
119,모드나인,0,16
120,시계,0,34
121,제로,0,7
122,브랜디드,1,26
123,남방,0,23
124,노스페이스바람막이,0,56
125,니트베스트,0,41
126,긴팔,1,35
127,머슬핏,1,160
128,린넨바지,1,64
129,MLB모자,0,25
130,슬링백,1,137
131,여름슬랙스,1,26
132,무지반팔,1,87
133,트레이닝셋업,0,38
134,안경,0,38
135,우포스,1,82
136,스투시반팔,1,116
137,무신사,1,32
138,캘빈클라인,0,40
139,드로우핏,0,3
140,코드그라피,1,33
141,오버핏맨투맨,0,49
142,체크셔츠,1,56
143,슬리브,1,12
144,남자오버핏반팔티셔츠,1,24
145,엘무드,0,19
146,비슬로우,0,7
147,에스피오나지,1,4
148,토트백,1,37
149,무탠다드슬랙스,0,71
150,목걸이,0,13
151,베스트,1,50
152,기능성반팔,0,69
153,나이키데이브레이크,1,241
154,후드,0,13
155,폴로가디건,1,19
156,여름,0,67
157,레이어드,0,12
158,아페쎄,-,0
159,스웻팬츠,1,106
160,힙색,1,294
161,카라니트,1,60
162,선글라스,0,31
163,오버핏반팔티,1,1
164,무신사스탠다드라이트웨이트슬랙스,1,485
165,폴로반팔,1,16
166,레이어드반팔,0,14
167,봄아우터,0,48
168,조던,0,33
169,바시티자켓,0,10
170,제멋,1,158
171,바람막이자켓,1,71
172,데님셔츠,0,19
173,캘빈클라인반팔,1,34
174,니트반팔,1,146
175,오버핏후드티,1,74
176,크롭,1,72
177,와이드청바지,0,28
178,나시,1,143
179,럭비티,1,62
180,카고팬츠,1,23
181,나이키모자,1,25
182,밴딩슬랙스,1,51
183,토피,0,37
184,라코스테,1,3
185,클리어런스,0,45
186,크롭맨투맨,1,82
187,반지,1,39
188,벌룬팬츠,0,10
189,미니백,0,35
190,반스뮬,1,30
191,스트라이프,-,0
192,오버핏후드집업,0,16
193,생지데님,0,2
194,운동복,1,102
195,아디다스반팔,1,320
196,트레이닝,1,20
197,카라반팔티,1,231
198,린넨,1,410
199,후아유,0,111
200,토마스모어,1,4
201,스트라이프셔츠,1,307
202,남자반바지,0,5
203,니트집업,1,42
204,여름바지,0,66
205,블루종,0,73
206,버뮤다팬츠,1,77
207,가죽자켓,1,87
208,데님팬츠,-,0
209,이벳필드,1,57
210,무탠다드반팔,1,291
211,쿨탠다드,1,19
212,흑청자켓,1,474
213,뉴발란스운동화,1,99
214,데님자켓,1,11
215,차,1,173
216,스트라이프티,0,33
217,나이키에어맥스,-,0
218,무지티,0,111
219,데님,1,71
220,엄브로,0,100
221,디스커버리바람막이,0,103
222,디키즈,1,285
223,리,1,77
224,남자가방,0,1
225,에어팟프로케이스,0,96
226,mmgl,1,185
227,런닝화,1,98
228,후리스,1,29
229,캔버스,1,142
230,우산,1,325
231,페이크삭스,1,87
232,미니크로스백,1,149
233,블라우스,1,1
234,와이드,1,69
235,쪼리,1,75
236,잠옷,1,8
237,팬츠,0,38
238,야상,0,36
239,널디,0,130
240,엄브로바람막이,1,45
241,플랙,1,150
242,마하그리드,0,58
243,파타고니아,-,0
244,포터리,1,231
245,꼼데가르송,0,23
246,래플,1,169
247,디스커버리,0,38
248,골프,0,81
249,뉴발란스327,1,58
250,여자조거팬츠,1,25
251,오버핏반팔셔츠,1,191
252,더플백,1,8
253,예일반팔,0,26
254,닥터마틴,-,0
255,캉골,0,17
256,하프집업,0,5
257,아더에러,1,91
258,오버핏블레이저,1,97
259,나이키조던,1,45
260,그라미치,0,6
261,유니온블루,0,96
262,캐치볼,1,84
263,수영복,0,84
264,조거,1,77
265,코닥,0,102
266,마크곤잘레스반팔,0,11
267,세트,0,32
268,ESSENTIAL,1,79
269,네이더스,0,51
270,와이드데님,0,112
271,나이키맨투맨,-,0
272,트레이닝반바지,0,78
273,애플워치스트랩,1,76
274,카고조거팬츠,0,94
275,바시티,1,403
276,인사일런스,1,29
277,크롭가디건,1,76
278,나이키반팔티,1,493
279,면바지,0,67
280,남자오버핏셔츠,1,245
281,흰색반팔,0,86
282,나이키슬리퍼,0,140
283,나이키아노락,1,59
284,점퍼,1,159
285,본챔스,1,198
286,져지,0,33
287,키르시,1,116
288,나이키후드집업,0,198
289,슈퍼서브,1,12
290,헨리넥,1,148
291,와이셔츠,0,91
292,아노락세트,1,83
293,나이키스니커즈,1,398
