rank,name,increase,increase_cnt
1,맨투맨,1,1
2,반팔,0,1
3,후드집업,1,2
4,후드티,0,1
5,바람막이,0,1
6,가디건,-,0
7,최고심,-,0
8,나이키,-,0
9,니트,1,3
10,셔츠,1,3
11,아노락,0,1
12,컨버스,1,5
13,슬랙스,1,7
14,반스,0,5
15,양말,1,4
16,반팔티,1,7
17,나이키바람막이,1,28
18,블레이저,0,4
19,자켓,0,4
20,조거팬츠,0,9
21,마크곤잘레스,-,0
22,청자켓,0,6
23,모자,1,11
24,아디다스,1,16
25,백팩,1,7
26,운동화,1,3
27,메신저백,1,25
28,바시티자켓,0,6
29,반바지,1,21
30,벨트,1,3
31,니트조끼,1,29
32,슬리퍼,1,21
33,아우터,1,28
34,남자가디건,1,25
35,레이어드티,0,7
36,트레이닝세트,0,5
37,에센셜,1,63
38,청바지,0,20
39,와이드슬랙스,0,1
40,무탠다드,0,10
41,후리스,1,40
42,가방,1,26
43,나이키에어포스,1,20
44,트렌치코트,1,81
45,블루종,0,1
46,셋업,0,21
47,커버낫,1,1
48,스니커즈,1,10
49,와이드팬츠,1,36
50,바지,0,24
51,예일,0,14
52,신발,1,19
53,버킷햇,0,18
54,쿠어,0,27
55,크로스백,0,9
56,스투시,1,1
57,집업,1,81
58,롱슬리브,0,19
59,윈드브레이커,1,15
60,세미와이드슬랙스,1,10
61,트레이닝바지,0,25
62,폴로,0,21
63,오버핏셔츠,0,21
64,에코백,0,40
65,크림진,-,0
66,데님자켓,0,23
67,트러커자켓,1,13
68,긴팔티,0,19
69,니트집업,1,7
70,독일군,1,18
71,가죽자켓,1,31
72,항공점퍼,1,15
73,옥스포드셔츠,1,133
74,지갑,1,1
75,나이키신발,1,109
76,여자가디건,1,156
77,카드지갑,0,13
78,경량패딩,1,58
79,원피스,1,170
80,에어포스,1,35
81,노스페이스바람막이,1,281
82,오버핏후드티,1,4
83,크록스,0,36
84,모드나인,1,33
85,레더자켓,0,12
86,반집업,1,9
87,후드,1,42
88,조끼,0,11
89,널디,1,85
90,마르디,1,81
91,나이키후드티,1,186
92,남자봄아우터,1,70
93,lmc,1,52
94,뉴발란스,1,16
95,첼시부츠,1,156
96,봄아우터,1,46
97,나이키에어포스1,1,286
98,나이키반팔,0,16
99,아이폰케이스,1,9
100,로퍼,1,158
101,오버핏후드집업,1,15
102,무탠다드슬랙스,1,30
103,스트라이프티,1,203
104,캡모자,0,21
105,바시티,0,15
106,하프집업,0,10
107,오버핏맨투맨,0,51
108,안경,0,57
109,아디다스바람막이,0,30
110,칼하트,1,212
111,야상,1,19
112,플랙,1,10
113,세터,0,15
114,아식스,0,5
115,캉골,1,28
116,스웻팬츠,1,43
117,숄더백,0,33
118,나이키후드집업,1,19
119,코트,1,46
120,티셔츠,1,24
121,스파오,1,149
122,디키즈,1,243
123,트레이닝셋업,0,31
124,트레이닝,1,4
125,조던,1,125
126,코드그라피,0,2
127,커버낫맨투맨,1,7
128,플리스,-,0
129,토피,0,10
130,카고팬츠,0,9
131,미니백,0,30
132,오버핏반팔,0,70
133,카라티,1,75
134,나이키운동화,0,80
135,생지데님,0,68
136,카고조거팬츠,0,70
