rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,라퍼지스토어,시티보이빅오버옥스포드셔츠_RoyalBlue,"47,000원","42,000원",-,-,-
2위,커버낫,에센셜쿨코튼2-PACK티셔츠,"49,000원","44,100원",-,-,-
3위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","33,900원",-,-,-
4위,수아레,[리뉴얼ver.]린넨세미와이드밴딩팬츠세트,"66,000원","49,500원",-,-,5/4배송 예정
5위,반스,컴피쿠시원-(체커보드)블랙:마시멜로우,"109,000원",-,1,1,-
6위,아디다스,에센셜3S윈드팬츠-블랙:화이트/DQ3100,"65,000원","29,900원",0,1,-
7위,가까이 유니언즈,원턱와이드스웨트팬츠그레이,"52,000원","36,400원",1,7,-
8위,컨버스,척테일러올스타블랙옥스M9166C,"55,000원",-,1,1,-
9위,라퍼지스토어,시티보이빅오버옥스포드셔츠_NeutralGray,"47,000원","42,000원",1,4,-
10위,토피,와이드데님팬츠(LIGHTBLUE),"49,000원","39,000원",1,6,-
11위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","39,000원",1,4,-
12위,리,빅트위치로고티셔츠화이트,"35,000원",-,1,35,-
13위,무신사 스탠다드,테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원",-,0,2,-
14위,이벳필드,쿨코튼2-PACK베츠기본반팔티셔츠블랙/화이트,"49,000원","31,850원",0,6,-
15위,도프제이슨,[천연소가죽]카우하이드토트백,"197,000원","137,000원",1,435,-
16위,오니츠카타이거,덴티그레LS1183B421_100,"210,000원",-,1,999,-
17위,토피,와이드데님팬츠(DEEPGREY),"49,000원","39,000원",1,3,-
18위,토피,SL01시밀러린넨데님와이드팬츠(RAWINDIGO),"49,000원","36,500원",-,-,-
19위,캘빈클라인 진,[박서준착용]남화이트레귤러핏인스티튜셔널로고스트레치반팔티셔츠J321612YAF,"45,000원","37,000원",1,38,-
20위,트래블,미시간울버린피그먼트반팔티블랙차콜,"39,000원","27,900원",1,9,-
21위,토피,와이드데님팬츠(BLEACH),"49,000원","39,000원",1,10,-
22위,제로,DeepOneTuckSweatPants[Grey],"39,000원",-,1,20,5/3배송 예정
23위,[블록버스터세일],아크블랙메신저백,"79,000원","61,620원",1,11,5/6배송 예정
24위,하 아카이브,에센셜메신져백블랙,"52,000원","39,500원",1,75,-
25위,핍스,커스텀핏옥스포드셔츠-화이트,"179,000원",-,0,18,-
