rank,name,increase,increase_cnt
1,반팔,-,0
2,반팔티,-,0
3,바람막이,-,0
4,반바지,-,0
5,후드집업,1,5
6,나이키,-,0
7,맨투맨,-,0
8,셔츠,0,3
9,양말,1,3
10,가디건,0,1
11,반팔니트,0,3
12,후드티,1,15
13,반스,1,2
14,조거팬츠,-,0
15,슬랙스,0,4
16,슬리퍼,-,0
17,컨버스,1,26
18,나이키바람막이,1,5
19,나이키반팔,1,3
20,모자,0,2
21,롱슬리브,0,4
22,윈드브레이커,1,78
23,마크곤잘레스,1,43
24,메신저백,1,34
25,청바지,1,9
26,백팩,1,10
27,크록스,1,21
28,오버핏반팔,1,2
29,바지,0,16
30,가방,0,5
31,아디다스,0,5
32,카라티,1,8
33,예일,1,72
34,트레이닝바지,1,15
35,볼캡,-,0
36,아노락,0,16
37,운동화,1,10
38,블레이저,0,14
39,나이키에어포스,1,32
40,무탠다드,0,1
41,청자켓,1,38
42,반팔셔츠,0,4
43,스투시,0,8
44,셋업,1,1
45,와이드슬랙스,1,1
46,크로스백,0,5
47,반팔티셔츠,1,13
48,나이키반바지,1,77
49,폴로,1,1
50,반팔카라티,1,110
51,와이드팬츠,0,9
52,오버핏셔츠,0,21
53,니트,1,30
54,에코백,0,26
55,칼하트,1,35
56,스니커즈,0,27
57,나이키신발,1,40
58,뉴발란스,-,0
59,티셔츠,1,2
60,벨트,0,39
61,쿠어,1,12
62,카드지갑,0,8
63,원피스,1,19
64,아디다스바람막이,0,12
65,신발,0,14
66,우산,0,10
67,세미와이드슬랙스,1,9
68,커버낫,1,6
69,lmc,1,1
70,남자가디건,1,5
71,뮬,0,12
72,트레이닝세트,0,39
73,니트조끼,0,29
74,모드나인,1,27
75,기능성반팔,1,19
76,남자반팔티,0,8
77,나이키운동화,1,52
78,아식스,1,31
79,캡모자,1,25
80,에센셜,0,17
81,긴팔티,0,17
82,디스커버리,1,39
83,트레이닝반바지,1,10
84,옥스포드셔츠,0,6
85,마르디,0,48
86,크롭티,0,33
87,에어포스,1,111
88,바시티자켓,1,40
89,샌들,1,35
90,여름바지,1,84
91,토피,1,7
92,린넨바지,1,67
93,반스어센틱,1,54
94,남자반바지,0,10
95,지갑,1,15
96,lee,-,0
97,베스트,1,56
98,엘무드,1,207
99,마뗑킴,1,102
100,와이드청바지,1,354
101,디네댓,-,0
102,바람막이자켓,0,10
103,오버핏후드집업,-,0
104,무탠다드슬랙스,1,4
105,1507양말,-,0
106,레이어드티,0,49
107,더비슈즈,0,35
108,나이키맨투맨,1,485
109,여름,1,8
110,드로우핏,1,152
111,쿨탠다드,0,24
112,오버핏후드티,1,87
113,크림진,0,48
114,무지반팔,1,31
115,긴팔,1,23
116,나이키양말,1,142
117,반스슬립온,1,136
118,치노팬츠,1,12
119,스웻팬츠,0,20
120,안경,0,4
121,폴로반팔,0,32
122,나이키반팔티,1,386
123,캉골,0,61
124,널디,1,16
125,래플,1,61
126,뎃,-,0
127,나일론팬츠,0,13
128,크롭,0,73
129,미니백,0,26
130,와이드데님,1,115
131,노스페이스바람막이,1,10
132,여자가디건,1,17
133,아디다스바지,0,11
134,스컬프터,1,169
135,반스뮬,1,179
136,조던,1,287
137,반지,1,270
138,독일군,0,6
139,숄더백,0,72
140,페이크삭스,1,392
141,마크곤잘레스반팔,-,0
142,골프,1,107
143,뉴발란스2002,-,0
144,남자벨트,1,254
