rank,name,increase,increase_cnt
1,후드티,-,0
2,맨투맨,-,0
3,후드집업,1,1
4,니트,1,1
5,가디건,0,2
6,나이키,-,0
7,백팩,-,0
8,조거팬츠,-,0
9,반스,1,4
10,비니,-,0
11,슬리퍼,1,4
12,쿠어,0,3
13,바람막이,0,2
14,가방,-,0
15,메신저백,1,2
16,양말,0,4
17,컨버스,1,6
18,반팔,1,8
19,예일,1,21
20,마크곤잘레스,1,9
21,셔츠,0,1
22,코트,1,3
23,모자,0,7
24,자켓,1,15
25,운동화,0,6
26,블레이저,1,8
27,레이어드티,0,3
28,나이키에어포스,0,7
29,에코백,1,26
30,슬랙스,0,2
31,커버낫,0,9
32,숏패딩,0,14
33,셋업,-,0
34,윈드브레이커,0,4
35,후리스,0,4
36,바지,0,9
37,청바지,0,5
38,와이드팬츠,1,25
39,블루종,1,13
40,무탠다드,0,4
41,아디다스,1,5
42,바시티자켓,1,6
43,폴로,0,6
44,제멋,0,6
45,트레이닝세트,0,4
46,신발,0,11
47,지갑,1,4
48,후드,0,5
49,카드지갑,0,5
50,아노락,1,7
51,스탠드오일,0,4
52,반팔티,0,2
53,아우터,1,20
54,스니커즈,1,51
55,남자가디건,1,1
56,에센셜,1,5
57,엘무드,1,1
58,경량패딩,1,4
59,와이드슬랙스,0,5
60,항공점퍼,1,11
61,트레이닝바지,0,16
62,나이키신발,0,3
63,에어포스,0,10
64,크로스백,0,22
65,바시티,1,7
66,하프집업니트,1,26
67,디스이즈네버댓,1,241
68,던스트,1,70
69,니트집업,0,20
70,뉴발란스,0,2
71,레더자켓,1,3
72,트레이닝셋업,1,27
73,패딩,0,7
74,아식스,1,35
75,청자켓,1,25
76,나이키운동화,1,15
77,브랜디드,1,13
78,나이키맨투맨,1,8
79,반집업,0,4
80,롱슬리브,1,4
81,치노팬츠,0,16
82,크록스,1,42
83,하프집업,1,66
84,lmc,1,63
85,잠옷,1,2
86,클리어런스,1,9
87,가죽자켓,0,2
88,벨트,0,24
89,노이아고,1,31
90,트렌치코트,1,27
91,목걸이,0,15
92,니트조끼,1,24
93,나이키에어포스1,1,3
94,나이키바람막이,1,7
95,옥스포드셔츠,1,82
96,플랙,1,8
