rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
1위,메종미네드,BLACKRAWDENIMTRUCKER,"218,000원","178,000원",1,1,-
2위,삼성전자,갤럭시탭S8울트라SM-X900WiFi512GB,"1,708,300원","1,537,470원",1,13,-
3위,코드그라피,[SET]쓰리피스컴피후드아노락셋업_블랙,"109,000원","79,900원",-,-,4/22배송 예정
4위,무신사 스탠다드,[유아인착용상품]릴렉스드베이식블레이저[블랙],"71,900원",-,0,3,-
5위,후러브스아트,유니섹스세미와이드밴딩슬랙스,"54,000원","31,900원",0,1,-
6위,제로,DeepOneTuckSweatPants[Grey],"39,000원",-,1,1,-
7위,아르반,2WAY스냅블루종_아이보리,"136,000원","108,800원",0,1,4/8배송 예정
8위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","39,900원",1,1,-
9위,코드그라피,[SET]YKK2-WAY테크숏자켓셋업_그레이,"127,900원","79,900원",0,4,-
10위,아디다스,BW아미-화이트/BZ0579,"139,000원",-,0,2,-
11위,나이키,데이브레이크운동화CK2351-101,"199,000원","136,900원",1,2,-
12위,스파오,오버핏옥스포드셔츠_SPYWC12C02,"29,900원",-,1,2,-
13위,드로우핏,모더니티히든밴딩슬랙스[DUSTYCREAM],"69,000원","62,100원",0,3,-
14위,마틴플랜,IzCropCardigan-IVORY,"129,000원","116,100원",1,6,-
15위,라퍼지스토어,시티보이빅오버옥스포드셔츠_RoyalBlue,"47,000원","42,000원",0,4,-
16위,드로우핏,오버핏옥스퍼드셔츠[WHITE],"55,000원","49,500원",0,4,-
17위,우포스,OORIGINALBLACK-조리블랙,"62,000원",-,-,-,-
18위,라퍼지스토어,[매트블랙]버핑레더미니멀포켓블루종_MattBlack,"94,000원","69,900원",1,20,-
19위,컨버스,척테일러올스타블랙옥스M9166C,"55,000원",-,-,-,-
20위,하 아카이브,아크블랙메신저백,"79,000원","71,100원",1,15,4/5배송 예정
21위,엘무드,화란세미오버가디건블랙,"94,900원","85,410원",0,5,-
22위,커버낫,에센셜쿨코튼2-PACK티셔츠,"49,000원","44,100원",1,4,-
23위,무신사 스탠다드,오버사이즈블레이저[블랙],"71,900원",-,1,7,-
24위,무신사 스탠다드,테이퍼드히든밴딩크롭슬랙스[블랙],"32,900원","29,590원",0,3,-
25위,피스워커,[한해착용]CrushedBlue/NewStan,"98,000원","88,200원",1,15,-
26위,컨버스,척70클래식블랙162058C,"95,000원",-,0,8,-
27위,무신사 스탠다드,레이어드크루넥반팔티셔츠_일반기장[화이트],"13,900원",-,0,3,-
28위,[패밀리세일],(22SS)2TONEARCHHOODIEGRAY,"79,000원","55,300원",0,6,-
29위,예일,척70클래식파치먼트162062C,"95,000원",-,1,20,-
30위,컨버스,[SET]쓰리피스컴피후드아노락셋업_스톤그레이,"109,000원","79,900원",1,1,4/22배송 예정
31위,코드그라피,[유아인착용상품]세미와이드히든밴딩슬랙스[블랙],"32,900원",-,0,3,-
32위,무신사 스탠다드,시티보이빅오버옥스포드셔츠_NeutralGray,"47,000원","42,000원",1,12,-
