rank,name,increase,increase_cnt
1,스웨트오늘만이가격,-,0
2,후드집업,1,3
3,후드티,0,1
4,바람막이,1,2
5,맨투맨,0,2
6,가디건,0,2
7,니트,1,1
8,후리스,1,5
9,조거팬츠,-,0
10,나이키,0,3
11,마크곤잘레스,1,18
12,자켓,0,1
13,블루종,1,20
14,아노락,1,1
15,양말,1,23
16,경량패딩,1,8
17,컨버스,0,3
18,커버낫,1,5
19,반스,-,0
20,모자,1,24
21,백팩,1,15
22,쿠어,0,6
23,블레이저,1,4
24,슬랙스,1,4
25,비니,-,0
26,반팔,0,9
27,셔츠,0,9
28,가방,1,11
29,반팔티,0,8
30,아식스,1,10
31,항공점퍼,1,19
32,바지,1,10
33,무탠다드,0,2
34,슬리퍼,0,9
35,메신저백,1,31
36,나이키에어포스,0,24
37,에코백,1,46
38,운동화,0,12
39,청바지,0,17
40,트레이닝바지,1,36
41,크로스백,1,24
42,레이어드티,0,5
43,트레이닝세트,0,23
44,봄아우터,1,5
45,청자켓,0,11
46,아우터,1,12
47,셋업,1,10
48,벨트,1,172
49,야상,1,76
50,윈드브레이커,1,57
51,롱슬리브,1,96
52,니트집업,1,2
53,아디다스,1,36
54,레더자켓,1,5
55,카드지갑,1,174
56,나이키바람막이,-,0
57,와이드팬츠,1,48
58,스니커즈,0,17
59,드로우핏,1,27
60,신발,0,15
61,나이키신발,1,53
62,바시티자켓,0,14
63,플리스,1,27
64,데님자켓,1,15
65,와이드슬랙스,0,19
66,조끼,1,53
67,반바지,1,24
68,남자가디건,1,10
69,트렌치코트,0,37
70,코트,0,23
71,뉴발란스,1,14
72,트러커자켓,1,56
73,지갑,1,62
74,트레이닝셋업,1,55
75,긴팔티,1,317
76,가죽자켓,0,41
77,폴로,0,34
78,나이키운동화,0,14
79,예일,0,49
80,아더에러,1,235
81,숏패딩,0,7
82,캡모자,1,39
83,크림진,1,44
84,야구점퍼,0,9
85,후드,0,8
86,수아레,1,70
87,디네댓,1,16
88,니트조끼,0,17
89,집업,1,20
90,미니멀자켓,1,44
91,원피스,0,4
92,양털후리스,-,0
93,로퍼,-,0
94,무탠다드슬랙스,1,200
95,엘무드,-,0
96,제멋,0,34
97,뉴발란스327,1,77
98,여자가디건,1,10
99,클리어런스,0,48
100,점퍼,1,116
101,반집업,1,80
102,에스피오나지,1,70
103,브랜디드,0,36
104,마르디,1,66
105,바시티,0,45
106,옥스포드셔츠,0,26
107,챔피온,1,384
108,반스어센틱,1,46
109,스파오,0,11
110,오늘만이가격,-,0
111,반스올드스쿨,1,157
112,치노팬츠,1,120
113,인사일런스,1,134
114,세미와이드슬랙스,1,2
115,엄브로,0,14
116,mlb,1,15
117,더비슈즈,0,64
118,칼하트,1,48
119,커버낫맨투맨,1,20
120,플랙,0,20
121,디스커버리,1,48
122,토피,1,137
123,오버핏맨투맨,0,17
124,후아유,1,37
125,나이키후드집업,1,17
126,널디,1,78
127,오버핏후드티,0,10
128,키르시,1,39
129,숄더백,0,17
130,크롭가디건,1,97
131,모드나인,0,58
132,오버핏셔츠,1,4
133,캉골,0,7
134,비슬로우,1,87
135,에어포스,0,65
136,오버핏블레이저,1,79
137,커버낫후드티,-,0
138,제로,0,20
139,크롭후드집업,1,70
140,스웻팬츠,0,85
141,남자트렌치코트,0,18
142,패딩조끼,0,90
143,반팔티셔츠,1,753
144,독일군,0,29
145,트레이닝,1,115
146,lmc,0,9
147,나이키데이브레이크,1,220
148,티셔츠,0,87
149,스투시,0,80
150,아웃스탠딩,-,0
151,하프집업니트,0,59
152,흰티,1,16
153,니티드,-,0
154,폴로가디건,-,0
155,독일군스니커즈,1,246
156,토트백,0,75
157,아이폰케이스,0,7
158,반지,1,250
159,MA1,0,96
160,하프집업,0,38
161,남자메신저백,1,236
162,뉴발란스574,1,51
163,뽀글이,1,302
164,패딩,-,0
165,남자가죽자켓,0,81
166,여자조거팬츠,1,132
167,카시오,-,0
168,크록스,0,100
169,나일론팬츠,0,26
170,생지데님,1,384
171,세터,0,22
172,골프,1,350
173,남자니트,1,355
174,레이어드,0,50
175,컨버스척70,1,64
176,코닥,0,44
177,나이키조거팬츠,1,268
178,스튜디오톰보이,-,0
179,트러커,-,0
180,lee,0,47
181,조거,0,51
182,캘빈클라인,1,66
183,쇼퍼백,1,89
184,와이드청바지,1,61
185,라이더자켓,0,41
186,무지맨투맨,1,80
187,숏코트,1,127
188,노스페이스바람막이,0,106
189,파자마,1,89
190,나이키후드티,1,627
191,MA1항공점퍼,1,431
192,안경,1,15
193,와이드데님팬츠,1,408
194,데님,1,25
195,스웨이드자켓,0,20
196,나이키조던,-,0
197,우알롱,-,0
198,도프제이슨,-,0
199,레더,1,340
200,목걸이,0,90
201,봄자켓,0,30
202,안다르,-,0
203,테이퍼드청바지,-,0
204,노스페이스후리스,1,84
205,아디다스슈퍼스타,-,0
206,흑청바지,-,0
207,MLB모자,1,24
208,무신사,-,0
209,첼시부츠,0,96
210,칼하트후드집업,-,0
211,크롭,0,52
212,트위드,0,17
213,맥코트,0,33
214,흑청자켓,1,49
215,애플워치스트랩,0,64
216,하프집업맨투맨,1,1
217,여자가죽자켓,-,0
218,플리스자켓,1,144
219,운동복,1,356
220,기모후드집업,1,582
221,스타디움자켓,0,43
222,슬링백,0,40
223,나이키맨투맨,0,26
224,니트베스트,-,0
225,피쉬테일,0,15
226,깔깔이,1,581
227,반집업니트,0,40
228,퍼티그팬츠,1,74
229,와이드데님,-,0
230,폴로니트,1,73
231,데님셔츠,-,0
232,크롭티,1,129
233,조던,1,24
234,테이퍼드슬랙스,-,0
235,아디다스바람막이,1,1
236,깡,1,572
237,뉴발란스운동화,0,91
238,리복,1,103
239,청재킷,-,0
240,칼하트백팩,-,0
241,팔찌,1,38
242,그라미치,-,0
243,꼼데가르송,-,0
244,나이키양말,1,279
245,남자봄아우터,1,284
246,에어팟,-,0
247,오버핏후드집업,0,53
248,여성가방,1,323
249,코치자켓,1,250
250,노스페이스,-,0
251,래플,-,0
252,일꼬르소,1,85
253,트위드자켓,0,149
254,카라니트,1,331
255,남자청바지,0,22
256,라이더,1,9
257,나일론자켓,0,71
258,런닝화,-,0
259,여성로퍼,-,0
260,노스페이스백팩,-,0
261,남자벨트,1,25
262,남자팬티,1,569
263,레깅스,0,10
