rank,name,increase,increase_cnt
1,후드티,-,0
2,맨투맨,-,0
3,후드집업,-,0
4,가디건,1,1
5,니트,1,2
6,바람막이,-,0
7,나이키,0,3
8,백팩,1,1
9,조거팬츠,0,1
10,쿠어,1,2
11,슬리퍼,-,0
12,반스,0,2
13,비니,-,0
14,반팔,1,5
15,양말,0,2
16,자켓,1,4
17,모자,0,1
18,가방,1,3
19,셔츠,1,7
20,레이어드티,1,3
21,커버낫,1,9
22,메신저백,1,2
23,컨버스,0,6
24,운동화,1,7
25,청바지,1,4
26,나이키에어포스,0,8
27,셋업,0,2
28,아노락,1,13
29,바지,1,4
30,코트,1,5
31,슬랙스,0,9
32,아디다스,1,15
33,무탠다드,1,3
34,후리스,0,20
35,에코백,0,1
36,카드지갑,1,38
37,지갑,1,14
38,마크곤잘레스,1,7
39,크로스백,1,9
40,블레이저,0,12
41,스니커즈,1,15
42,후드,0,3
43,블루종,0,11
44,아식스,0,6
45,항공점퍼,0,2
46,아우터,1,8
47,숏패딩,0,20
48,예일,1,9
49,반팔티,0,7
50,롱슬리브,1,20
51,야상,1,2
52,가죽자켓,1,3
53,폴로,1,13
54,경량패딩,0,10
55,뉴발란스530,1,22
56,트레이닝바지,0,16
57,뉴발란스,1,7
58,바시티자켓,0,21
59,트렌치코트,1,3
60,청자켓,1,3
61,신발,0,15
62,윈드브레이커,0,4
63,나이키바람막이,1,12
64,레더자켓,0,4
65,나이키운동화,1,6
66,에어포스,1,13
67,트레이닝세트,0,18
68,잠옷,1,25
69,남자가디건,0,1
70,엘무드,1,25
71,하프집업,1,15
72,나이키코르테즈,1,50
73,도프제이슨,1,15
74,니트집업,1,10
75,칼하트,1,12
76,벨트,-,0
77,디스이즈네버댓,1,47
78,반집업,0,17
79,드로우핏,1,25
80,나이키킬샷,1,73
81,크록스,1,26
82,아페쎄,1,31
83,치노팬츠,1,25
84,제멋,0,6
85,트러커자켓,1,16
86,스웻팬츠,1,13
87,뉴발란스운동화,1,11
88,니트조끼,0,19
89,토트백,1,17
90,뉴발란스327,1,2
91,와이드팬츠,0,32
92,와이드슬랙스,0,40
93,디스커버리,1,133
94,나이키신발,0,44
95,스파오,0,22
